entree,ChampB,ChampBdes,ChampH2,derivChampB,derivChampBdes,timeC,ih,v2_for_integration,ChampH23,ChampB_brut,ChampH2_brut,derivChampB_brut,ih_probe,ChampH2_probe_brut
2.3944979,-0.000614841,0,9.6025286,24071.408,31415.893,0,-0.2289366,-2.3588059,-42.231434,-0.1410566,-35.02766,9466.1602,-0.11580554,-30.496302
2.3945167,-0.00022909249,0.00050265429,9.6825619,24071.496,31415.893,1.6e-08,-0.22835012,-2.3726196,-42.123249,-0.14090408,-34.935905,9521.8154,-0.11552171,-30.379915
2.3945343,0.00015664453,0.0010053054,9.7625895,24071.432,31415.695,3.2e-08,-0.22766115,-2.3864181,-41.996151,-0.14075069,-34.84338,9577.4102,-0.1144261,-30.263309
2.3945508,0.00054239348,0.0015079501,9.8426104,24071.215,31415.299,4.8e-08,-0.22668625,-2.4002018,-41.816315,-0.1405964,-34.750084,9632.9443,-0.11395153,-30.14649
2.3945661,0.0009281261,0.0020105855,9.9226198,24070.846,31414.703,6.4e-08,-0.22594409,-2.4139702,-41.679413,-0.14044124,-34.656033,9688.417,-0.11420637,-30.029463
2.3945799,0.0013138657,0.002513208,10.002616,24070.324,31413.908,8e-08,-0.22526513,-2.4277232,-41.554165,-0.14028518,-34.561218,9743.8291,-0.11295358,-29.912233
2.394592,0.0016995842,0.0030158146,10.082597,24069.65,31412.916,9.6e-08,-0.22456229,-2.4414611,-41.424511,-0.14012824,-34.465652,9799.1787,-0.11243934,-29.794807
2.3946021,0.0020853048,0.0035184023,10.162559,24068.824,31411.727,1.12e-07,-0.22380933,-2.4551835,-41.285618,-0.13997041,-34.369335,9854.4658,-0.11212653,-29.677191
2.3946099,0.0024709993,0.0040209675,10.242499,24067.846,31410.338,1.28e-07,-0.22266644,-2.4688904,-41.074791,-0.13981169,-34.272274,9909.6914,-0.11161229,-29.559389
2.3946157,0.0028566911,0.0045235078,10.322415,24066.715,31408.75,1.44e-07,-0.22258398,-2.4825816,-41.059578,-0.1396521,-34.174473,9964.8535,-0.11001617,-29.441408
2.3946185,0.003242352,0.0050260192,10.402305,24065.432,31406.965,1.6e-07,-0.22139175,-2.4962573,-40.839653,-0.13949162,-34.075935,10019.953,-0.10973388,-29.323256
2.3946187,0.0036280053,0.0055284989,10.482164,24063.996,31404.98,1.76e-07,-0.22117056,-2.5099173,-40.798851,-0.13933027,-33.976665,10074.988,-0.10907163,-29.204937
2.3946159,0.0040136226,0.0060309432,10.561993,24062.41,31402.797,1.92e-07,-0.21978259,-2.5235612,-40.542812,-0.13916802,-33.876667,10129.96,-0.10861995,-29.086456
2.3946097,0.0043992279,0.0065333499,10.641785,24060.67,31400.416,2.08e-07,-0.2194358,-2.5371892,-40.47884,-0.1390049,-33.775951,10184.868,-0.10810266,-28.967819
2.3945999,0.0047847922,0.0070357155,10.721539,24058.777,31397.838,2.24e-07,-0.21846244,-2.5508013,-40.299286,-0.13884091,-33.674519,10239.711,-0.10779443,-28.849035
2.3945863,0.0051703393,0.0075380364,10.801254,24056.734,31395.059,2.4e-07,-0.2183291,-2.5643971,-40.274693,-0.13867603,-33.572372,10294.489,-0.10578021,-28.730106
2.3945684,0.0055558407,0.0080403099,10.880926,24054.537,31392.084,2.56e-07,-0.21727329,-2.5779769,-40.079929,-0.13851029,-33.469521,10349.202,-0.10557726,-28.611038
2.3945463,0.0059413197,0.0085425321,10.960552,24052.189,31388.91,2.72e-07,-0.21659048,-2.5915403,-39.953972,-0.13834366,-33.365967,10403.849,-0.10509811,-28.49184
2.3945196,0.006326749,0.0090447012,11.04013,24049.689,31385.537,2.88e-07,-0.21590382,-2.6050873,-39.827305,-0.13817616,-33.261719,10458.431,-0.10463881,-28.372515
2.3944879,0.0067121503,0.0095468126,11.119657,24047.035,31381.967,3.04e-07,-0.215184,-2.618618,-39.694523,-0.13800779,-33.156784,10512.945,-0.10389569,-28.253069
2.3944509,0.0070974971,0.010048863,11.19913,24044.23,31378.197,3.2e-07,-0.21403725,-2.6321321,-39.482983,-0.13783856,-33.051163,10567.394,-0.10228126,-28.133509
2.3944085,0.0074828113,0.010550851,11.278547,24041.273,31374.23,3.36e-07,-0.21318026,-2.6456294,-39.324898,-0.13766843,-32.944866,10621.775,-0.10119327,-28.013838
2.3943603,0.0078680664,0.011052772,11.357905,24038.166,31370.064,3.52e-07,-0.21254061,-2.6591103,-39.206902,-0.13749745,-32.837894,10676.089,-0.1014008,-27.894066
2.3943059,0.0082532829,0.011554623,11.437203,24034.904,31365.701,3.68e-07,-0.21180463,-2.6725743,-39.071136,-0.1373256,-32.730259,10730.335,-0.10104373,-27.774195
2.3942451,0.008638436,0.012056401,11.516437,24031.49,31361.141,3.84e-07,-0.21124974,-2.6860213,-38.968777,-0.13715288,-32.621964,10784.514,-0.099891663,-27.65423
2.3941777,0.0090235462,0.012558104,11.595604,24027.926,31356.381,4e-07,-0.21065016,-2.6994514,-38.858173,-0.1369793,-32.513012,10838.624,-0.099235512,-27.534182
2.3941033,0.0094085876,0.013059726,11.674703,24024.209,31351.422,4.16e-07,-0.20967141,-2.7128644,-38.677624,-0.13680485,-32.403416,10892.665,-0.099058501,-27.414051
