entree,ChampB,ChampBdes,ChampH2,derivChampB,derivChampBdes,timeC,ih,v2_for_integration,ChampH23,ChampB_brut,ChampH2_brut,derivChampB_brut,ih_probe,ChampH2_probe_brut
2.2483578,-0.0006987325,0,9.2372379,22610.77,31415.893,0,-0.208957,-2.3802652,-38.545841,-0.13057972,-31.88467,9554.4844,-0.099247716,-27.424044
2.2483809,-0.00033639139,0.00050265429,9.3127155,22610.633,31415.893,1.6e-08,-0.20778018,-2.3930552,-38.328754,-0.13042587,-31.782352,9606.0146,-0.097766042,-27.319101
2.2484043,2.5949259e-05,0.0010053054,9.3881721,22610.352,31415.695,3.2e-08,-0.20763916,-2.4058299,-38.302738,-0.1302712,-31.679506,9657.4844,-0.097701959,-27.213987
2.2484276,0.00038829262,0.0015079501,9.4636068,22609.928,31415.299,4.8e-08,-0.2068022,-2.4185896,-38.14835,-0.13011569,-31.576136,9708.8936,-0.097015291,-27.108707
2.2484508,0.00075063104,0.0020105855,9.5390177,22609.359,31414.703,6.4e-08,-0.20640531,-2.4313338,-38.075134,-0.12995936,-31.472248,9760.2402,-0.096740626,-27.003265
2.2484739,0.0011129675,0.002513208,9.6144018,22608.648,31413.908,8e-08,-0.20536567,-2.4440629,-37.883358,-0.12980223,-31.367847,9811.5254,-0.096021913,-26.897669
2.2484965,0.0014752945,0.0030158146,9.6897583,22607.795,31412.916,9.6e-08,-0.20421737,-2.4567764,-37.671532,-0.12964426,-31.262939,9862.748,-0.095574819,-26.79192
2.2485185,0.0018376149,0.0035184023,9.7650833,22606.799,31411.727,1.12e-07,-0.2043484,-2.4694743,-37.695702,-0.12948547,-31.15753,9913.9082,-0.09464705,-26.686024
2.2485399,0.0021999213,0.0040209675,9.8403759,22605.658,31410.338,1.28e-07,-0.20336039,-2.4821568,-37.513447,-0.12932588,-31.051622,9965.0059,-0.093656726,-26.579988
2.2485604,0.0025622165,0.0045235078,9.9156342,22604.377,31408.75,1.44e-07,-0.20312148,-2.4948237,-37.469376,-0.12916546,-30.945225,10016.041,-0.094392225,-26.473814
2.24858,0.0029244933,0.0050260192,9.9908552,22602.951,31406.965,1.6e-07,-0.20232384,-2.5074747,-37.322235,-0.12900423,-30.838339,10067.012,-0.092263557,-26.367508
2.2485981,0.0032867542,0.0055284989,10.066038,22601.383,31404.98,1.76e-07,-0.20195855,-2.5201097,-37.254852,-0.12884218,-30.730974,10117.919,-0.092086554,-26.261074
2.248615,0.0036489919,0.0060309432,10.14118,22599.67,31402.797,1.92e-07,-0.20052125,-2.5327289,-36.989716,-0.12867931,-30.623137,10168.762,-0.091921754,-26.154518
2.24863,0.0040112091,0.0065333499,10.216279,22597.816,31400.416,2.08e-07,-0.1999733,-2.5453322,-36.888638,-0.12851563,-30.514828,10219.54,-0.090992466,-26.047846
2.2486436,0.0043733991,0.0070357155,10.291332,22595.818,31397.838,2.24e-07,-0.19944462,-2.5579193,-36.791115,-0.12835114,-30.406057,10270.254,-0.090371408,-25.941057
2.2486548,0.0047355639,0.0075380364,10.36634,22593.68,31395.059,2.4e-07,-0.19862849,-2.5704904,-36.64056,-0.12818584,-30.296829,10320.902,-0.089677118,-25.834164
2.2486639,0.0050976961,0.0080403099,10.441298,22591.395,31392.084,2.56e-07,-0.19805896,-2.583045,-36.535503,-0.12801974,-30.187151,10371.486,-0.0892056,-25.727163
2.2486706,0.0054597994,0.0085425321,10.516205,22588.969,31388.91,2.72e-07,-0.197548,-2.5955834,-36.44125,-0.12785281,-30.077026,10422.004,-0.08942686,-25.620066
2.2486744,0.0058218655,0.0090447012,10.591059,22586.398,31385.537,2.88e-07,-0.19721586,-2.6081057,-36.379974,-0.12768508,-29.966461,10472.455,-0.088143557,-25.512875
2.2486753,0.0061838976,0.0095468126,10.665858,22583.688,31381.967,3.04e-07,-0.196429,-2.6206112,-36.234825,-0.12751655,-29.855465,10522.84,-0.088219859,-25.405592
2.248673,0.0065458883,0.010048863,10.740601,22580.832,31378.197,3.2e-07,-0.19545718,-2.6331003,-36.055557,-0.12734722,-29.744041,10573.158,-0.087058626,-25.298225
2.2486672,0.0069078403,0.010550851,10.815284,22577.834,31374.23,3.36e-07,-0.1948576,-2.6455727,-35.944954,-0.12717707,-29.632196,10623.41,-0.08637806,-25.190779
2.2486577,0.0072697462,0.011052772,10.889907,22574.693,31370.064,3.52e-07,-0.19435205,-2.6580284,-35.851696,-0.12700613,-29.519938,10673.594,-0.086352125,-25.083256
2.2486441,0.0076316088,0.011554623,10.964467,22571.41,31365.701,3.68e-07,-0.19369003,-2.6704671,-35.729576,-0.12683438,-29.407269,10723.711,-0.086617634,-24.97566
2.2486265,0.0079934206,0.012056401,11.038963,22567.984,31361.141,3.84e-07,-0.19318293,-2.6828892,-35.636032,-0.12666184,-29.294199,10773.759,-0.085363321,-24.868
2.2486041,0.0083551854,0.012558104,11.113393,22564.416,31356.381,4e-07,-0.1922404,-2.6952944,-35.462166,-0.12648849,-29.180735,10823.739,-0.084102906,-24.760277
2.2485771,0.0087168943,0.013059726,11.187754,22560.703,31351.422,4.16e-07,-0.1915414,-2.7076824,-35.333225,-0.12631434,-29.066881,10873.65,-0.083635978,-24.652498
2.2485449,0.0090785511,0.013561266,11.262045,22556.848,31346.268,4.32e-07,-0.19086784,-2.7200534,-35.208973,-0.12613939,-28.952644,10923.493,-0.08263649,-24.544664
2.2485073,0.0094401482,0.014062721,11.336265,22552.85,31340.912,4.48e-07,-0.1904301,-2.7324071,-35.128223,-0.12596364,-28.838032,10973.267,-0.082587667,-24.436783
2.2484641,0.0098016886,0.014564087,11.41041,22548.711,31335.361,4.64e-07,-0.18966869,-2.7447436,-34.987766,-0.12578711,-28.723049,11022.971,-0.081902526,-24.328857
2.248415,0.010163165,0.015065361,11.48448,22544.428,31329.611,4.8e-07,-0.18906371,-2.7570629,-34.876167,-0.12560977,-28.607704,11072.605,-0.081305884,-24.220894
