entree,ChampB,ChampBdes,ChampH2,derivChampB,derivChampBdes,timeC,ih,v2_for_integration,ChampH23,ChampB_brut,ChampH2_brut,derivChampB_brut,ih_probe,ChampH2_probe_brut
3.0891566,-0.00014285602,0,14.973185,31091.082,31415.893,0,-0.35176128,-2.3306491,-64.888634,-0.18907776,-57.418739,9329.6611,-0.22783746,-50.542286
3.089174,0.00035556295,0.00050265429,15.058697,31090.951,31415.893,1.6e-08,-0.35086885,-2.3491702,-64.724007,-0.18892692,-57.172176,9404.2832,-0.22575915,-50.326172
3.0891881,0.00085399306,0.0010053054,15.144136,31090.621,31415.695,3.2e-08,-0.34929514,-2.3676765,-64.433708,-0.18877488,-56.92498,9478.8447,-0.22460249,-50.109467
3.0891986,0.0013524046,0.0015079501,15.229506,31090.096,31415.299,4.8e-08,-0.34796804,-2.3861678,-64.188904,-0.18862166,-56.677166,9553.3467,-0.2231956,-49.892193
3.0892048,0.001850821,0.0020105855,15.314803,31089.373,31414.703,6.4e-08,-0.34611997,-2.404644,-63.847992,-0.18846723,-56.428753,9627.7871,-0.22238074,-49.674366
3.0892069,0.0023492125,0.002513208,15.400032,31088.455,31413.908,8e-08,-0.3451443,-2.423105,-63.668015,-0.18831164,-56.179764,9702.167,-0.22148198,-49.456005
3.0892041,0.0028476024,0.0030158146,15.485193,31087.338,31412.916,9.6e-08,-0.34352437,-2.4415507,-63.369186,-0.18815483,-55.930214,9776.4854,-0.22019105,-49.237122
3.0891962,0.0033459612,0.0035184023,15.570288,31086.025,31411.727,1.12e-07,-0.34234214,-2.459981,-63.151108,-0.18799685,-55.68013,9850.7402,-0.21767785,-49.017735
3.0891829,0.0038443124,0.0040209675,15.655316,31084.518,31410.338,1.28e-07,-0.34074995,-2.4783957,-62.857395,-0.18783768,-55.429523,9924.9336,-0.21736503,-48.797863
3.0891635,0.0043426258,0.0045235078,15.740281,31082.811,31408.75,1.44e-07,-0.33937508,-2.4967949,-62.603775,-0.18767731,-55.178421,9999.0645,-0.21684927,-48.577526
3.0891376,0.0048409253,0.0050260192,15.825183,31080.908,31406.965,1.6e-07,-0.33781987,-2.5151782,-62.316891,-0.18751577,-54.926834,10073.131,-0.21541338,-48.356735
