entree,ChampB,ChampBdes,ChampH2,derivChampB,derivChampBdes,timeC,ih,v2_for_integration,ChampH23,ChampB_brut,ChampH2_brut,derivChampB_brut,ih_probe,ChampH2_probe_brut
3.0991156,-0.00079026388,0,14.86892,31199.844,31415.893,0,-0.35400546,-2.3279276,-65.302612,-0.18986471,-57.861423,9315.7656,-0.23013093,-51.02689
3.0991342,-0.00029003844,0.00050265429,14.954628,31199.951,31415.893,1.6e-08,-0.35265371,-2.3465235,-65.053261,-0.18971404,-57.612522,9390.6885,-0.22836696,-50.808701
3.0991502,0.0002101632,0.0010053054,15.040262,31199.863,31415.695,3.2e-08,-0.35127112,-2.3651047,-64.798218,-0.18956219,-57.362976,9465.5518,-0.22713248,-50.589912
3.0991628,0.00071038905,0.0015079501,15.125823,31199.574,31415.299,4.8e-08,-0.3495926,-2.3836708,-64.488586,-0.18940912,-57.112804,9540.3555,-0.22707297,-50.370544
3.0991721,0.001210585,0.0020105855,15.211313,31199.092,31414.703,6.4e-08,-0.34835029,-2.4022219,-64.259415,-0.18925487,-56.862026,9615.0986,-0.22590259,-50.150608
3.0991778,0.0017107986,0.002513208,15.296734,31198.408,31413.908,8e-08,-0.34722975,-2.420758,-64.052711,-0.1890994,-56.610661,9689.7803,-0.22417982,-49.930126
3.0991793,0.0022109761,0.0030158146,15.382085,31197.529,31412.916,9.6e-08,-0.34543562,-2.4392786,-63.721752,-0.18894276,-56.35873,9764.4004,-0.22260353,-49.70911
3.0991762,0.002711165,0.0035184023,15.467369,31196.451,31411.727,1.12e-07,-0.34397906,-2.4577839,-63.453064,-0.18878491,-56.106251,9838.958,-0.22135074,-49.487587
3.0991681,0.0032113113,0.0040209675,15.552587,31195.178,31410.338,1.28e-07,-0.3427799,-2.4762738,-63.231857,-0.18862587,-55.853245,9913.4531,-0.22047944,-49.265564
3.0991549,0.0037114627,0.0045235078,15.637739,31193.705,31408.75,1.44e-07,-0.34138498,-2.4947479,-62.974541,-0.18846565,-55.599735,9987.8857,-0.21974242,-49.043068
3.0991361,0.0042115655,0.0050260192,15.722828,31192.037,31406.965,1.6e-07,-0.33969721,-2.5132062,-62.6632,-0.18830423,-55.345737,10062.255,-0.21761681,-48.820107
3.0991113,0.0047116666,0.0055284989,15.807854,31190.17,31404.98,1.76e-07,-0.33829305,-2.5316486,-62.404179,-0.18814163,-55.09127,10136.56,-0.21637776,-48.596706
3.0990798,0.0052117133,0.0060309432,15.892818,31188.105,31402.797,1.92e-07,-0.33695516,-2.5500751,-62.157383,-0.18797784,-54.836357,10210.8,-0.21581164,-48.372875
3.0990417,0.0057117515,0.0065333499,15.977724,31185.844,31400.416,2.08e-07,-0.33521807,-2.5684855,-61.836945,-0.18781285,-54.581017,10284.976,-0.21389049,-48.148636
3.0989962,0.0062117293,0.0070357155,16.062571,31183.385,31397.838,2.24e-07,-0.33425167,-2.5868797,-61.658672,-0.18764669,-54.325268,10359.086,-0.21271554,-47.924007
3.0989428,0.0067116925,0.0075380364,16.14736,31180.729,31395.059,2.4e-07,-0.33286601,-2.6052575,-61.403061,-0.18747933,-54.06913,10433.131,-0.21149175,-47.699001
3.0988815,0.0072115883,0.0080403099,16.232094,31177.875,31392.084,2.56e-07,-0.33119828,-2.6236188,-61.095421,-0.1873108,-53.812622,10507.108,-0.20968658,-47.47364
3.0988114,0.0077114636,0.0085425321,16.316774,31174.824,31388.91,2.72e-07,-0.32980645,-2.6419637,-60.838673,-0.18714108,-53.555767,10581.021,-0.20840937,-47.247936
3.0987322,0.0082112653,0.0090447012,16.401402,31171.576,31385.537,2.88e-07,-0.32795066,-2.6602919,-60.496342,-0.18697017,-53.29858,10654.864,-0.2074862,-47.021912
3.0986435,0.00871104,0.0095468126,16.485977,31168.131,31381.967,3.04e-07,-0.32731873,-2.6786032,-60.379768,-0.18679808,-53.04108,10728.641,-0.20639363,-46.795578
3.0985451,0.0092107346,0.010048863,16.570503,31164.488,31378.197,3.2e-07,-0.32548761,-2.6968975,-60.041988,-0.18662483,-52.783295,10802.349,-0.20512864,-46.568958
3.0984359,0.0097103957,0.010550851,16.654982,31160.646,31374.23,3.36e-07,-0.32440406,-2.7151749,-59.842106,-0.18645038,-52.525234,10875.988,-0.20425734,-46.34206
3.098316,0.010209971,0.011052772,16.739412,31156.611,31370.064,3.52e-07,-0.32249743,-2.7334352,-59.490391,-0.18627477,-52.266918,10949.559,-0.20246743,-46.11491
3.0981846,0.010709506,0.011554623,16.823799,31152.375,31365.701,3.68e-07,-0.32141078,-2.751678,-59.28994,-0.18609796,-52.008373,11023.06,-0.2011597,-45.88752
3.0980415,0.01120895,0.012056401,16.90814,31147.943,31361.141,3.84e-07,-0.3202486,-2.7699037,-59.075558,-0.18592,-51.749611,11096.491,-0.20005493,-45.659908
3.0978861,0.011708346,0.012558104,16.992441,31143.314,31356.381,4e-07,-0.31897083,-2.7881117,-58.839851,-0.18574084,-51.490654,11169.852,-0.19903409,-45.432091
3.0977178,0.012207645,0.013059726,17.0767,31138.49,31351.422,4.16e-07,-0.31701177,-2.8063021,-58.47847,-0.18556052,-51.231522,11243.141,-0.19725333,-45.204086
3.0975363,0.012706891,0.013561266,17.160921,31133.467,31346.268,4.32e-07,-0.31548125,-2.8244748,-58.196133,-0.18537904,-50.972229,11316.359,-0.19617908,-44.975906
3.0973411,0.013206032,0.014062721,17.245104,31128.246,31340.912,4.48e-07,-0.31442696,-2.8426297,-58.001652,-0.18519637,-50.712799,11389.505,-0.19544511,-44.74757
3.0971317,0.013705114,0.014564087,17.32925,31122.828,31335.361,4.64e-07,-0.31271607,-2.8607666,-57.68605,-0.18501253,-50.453251,11462.579,-0.19367351,-44.519096
3.0969076,0.014204086,0.015065361,17.413364,31117.215,31329.611,4.8e-07,-0.31172654,-2.8788855,-57.503513,-0.18482754,-50.1936,11535.58,-0.19219032,-44.290501
3.0966685,0.014702992,0.015566539,17.497444,31111.404,31323.664,4.96e-07,-0.3095178,-2.8969862,-57.096069,-0.18464138,-49.933865,11608.508,-0.19095737,-44.061794
3.0964136,0.01520178,0.016067619,17.581493,31105.396,31317.52,5.12e-07,-0.30829707,-2.9150686,-56.870884,-0.18445404,-49.674065,11681.362,-0.189906,-43.833
3.096143,0.015700497,0.016568597,17.665514,31099.191,31311.176,5.28e-07,-0.30674031,-2.9331326,-56.583714,-0.18426554,-49.414219,11754.142,-0.1885815,-43.60413
3.0958557,0.016199091,0.017069472,17.749506,31092.791,31304.635,5.44e-07,-0.30622396,-2.9511781,-56.488464,-0.18407588,-49.154343,11826.847,-0.18744163,-43.375202
3.0955515,0.016697606,0.017570239,17.833473,31086.191,31297.896,5.6e-07,-0.30432656,-2.9692049,-56.138454,-0.18388505,-48.894459,11899.478,-0.187051,-43.146233
3.0952299,0.017195992,0.018070893,17.917416,31079.396,31290.959,5.76e-07,-0.30255404,-2.9872129,-55.811478,-0.18369307,-48.634586,11972.032,-0.18489486,-42.917233
3.0948906,0.017694293,0.018571435,18.001335,31072.404,31283.824,5.92e-07,-0.30170012,-3.0052021,-55.653961,-0.18349992,-48.374737,12044.511,-0.18343608,-42.688225
3.0945327,0.018192459,0.019071858,18.085234,31065.217,31276.494,6.08e-07,-0.30000004,-3.0231721,-55.340347,-0.18330561,-48.114929,12116.912,-0.18276772,-42.459221
3.0941565,0.018690532,0.019572163,18.169113,31057.83,31268.965,6.24e-07,-0.29813346,-3.0411234,-54.996029,-0.18311015,-47.855186,12189.237,-0.18120365,-42.23024
3.093761,0.019188466,0.020072343,18.252974,31050.25,31261.236,6.4e-07,-0.29740441,-3.0590553,-54.861542,-0.18291351,-47.59552,12261.485,-0.17959838,-42.001289
3.0933461,0.0196863,0.020572394,18.336819,31042.471,31253.312,6.56e-07,-0.29549471,-3.0769677,-54.509258,-0.18271574,-47.335953,12333.655,-0.17805871,-41.772396
3.0929112,0.020183988,0.021072319,18.42065,31034.496,31245.191,6.72e-07,-0.29411983,-3.094861,-54.255638,-0.18251681,-47.076496,12405.747,-0.17773369,-41.543568
3.0924559,0.020681569,0.021572107,18.504469,31026.324,31236.873,6.88e-07,-0.29259697,-3.1127346,-53.974724,-0.18231672,-46.817173,12477.76,-0.17595446,-41.314819
3.09198,0.021179,0.022071762,18.588276,31017.957,31228.355,7.04e-07,-0.29161206,-3.1305885,-53.793037,-0.1821155,-46.557999,12549.693,-0.17493667,-41.086166
3.0914831,0.021676319,0.022571275,18.672075,31009.393,31219.643,7.2e-07,-0.29054546,-3.1484227,-53.596283,-0.18191311,-46.298992,12621.548,-0.17420118,-40.857632
3.0909646,0.022173477,0.023070646,18.755865,31000.633,31210.732,7.36e-07,-0.28872821,-3.1662369,-53.261063,-0.18170957,-46.040165,12693.321,-0.17214881,-40.629219
3.0904243,0.022670519,0.023569873,18.839649,30991.678,31201.623,7.52e-07,-0.28733638,-3.1840312,-53.004314,-0.18150489,-45.781536,12765.015,-0.17195196,-40.400948
3.0898616,0.023167394,0.02406895,18.923429,30982.525,31192.318,7.68e-07,-0.28608945,-3.2018054,-52.774296,-0.18129906,-45.523125,12836.627,-0.1702704,-40.172836
3.0892768,0.023664145,0.024567876,19.007208,30973.176,31182.816,7.84e-07,-0.28467143,-3.2195592,-52.512714,-0.18109208,-45.264946,12908.157,-0.16873837,-39.944893
3.0886688,0.024160724,0.025066646,19.090984,30963.631,31173.117,8e-07,-0.28328577,-3.2372928,-52.257103,-0.18088397,-45.007011,12979.606,-0.16762139,-39.717136
3.0880377,0.024657175,0.025565257,19.174763,30953.891,31163.223,8.16e-07,-0.28162882,-3.2550061,-51.95145,-0.18067472,-44.749348,13050.973,-0.16697745,-39.489578
3.0873833,0.025153445,0.026063707,19.258541,30943.955,31153.129,8.32e-07,-0.28022003,-3.2726986,-51.691574,-0.18046431,-44.491962,13122.257,-0.16512802,-39.262234
3.086705,0.025649581,0.026561992,19.342325,30933.822,31142.84,8.48e-07,-0.27890217,-3.2903705,-51.448475,-0.18025276,-44.234871,13193.457,-0.1639851,-39.035122
3.0860026,0.026145531,0.02706011,19.426115,30923.494,31132.354,8.64e-07,-0.27769533,-3.3080218,-51.225845,-0.18004009,-43.978096,13264.573,-0.16281015,-38.808247
3.0852759,0.026641339,0.027558057,19.509912,30912.971,31121.67,8.8e-07,-0.27594745,-3.3256519,-50.903419,-0.17982627,-43.721645,13335.605,-0.1619892,-38.581631
3.0845246,0.027136957,0.028055828,19.593718,30902.25,31110.791,8.96e-07,-0.27506578,-3.3432612,-50.740784,-0.17961131,-43.465542,13406.554,-0.1606418,-38.355282
3.0837483,0.027632425,0.028553424,19.677534,30891.336,31099.715,9.12e-07,-0.27302662,-3.3608494,-50.36462,-0.17939523,-43.209793,13477.416,-0.15886563,-38.129219
3.082947,0.028127696,0.02905084,19.761362,30880.225,31088.443,9.28e-07,-0.27175653,-3.3784161,-50.130333,-0.17917801,-42.954422,13548.193,-0.15742821,-37.90345
3.0821204,0.028622812,0.029548071,19.845203,30868.918,31076.975,9.44e-07,-0.27056047,-3.3959618,-49.909695,-0.17895965,-42.69944,13618.885,-0.15663777,-37.677994
3.0812681,0.029117724,0.030045116,19.929062,30857.418,31065.309,9.6e-07,-0.26933819,-3.4134858,-49.684223,-0.17874017,-42.444862,13689.489,-0.15521409,-37.452862
3.0803902,0.029612476,0.030541971,20.012936,30845.721,31053.447,9.76e-07,-0.26849505,-3.4309883,-49.528698,-0.17851956,-42.190701,13760.007,-0.15390942,-37.228065
