Bmax (T) =,0.049596059145741216,Freq(Hz) =,100000.0,Hc =,2.13650802715387,Br (T) =,0.008805019660080762,Hmax =,12.193043294760454,µr =,3236.869491931791,W(J/m³) =,0.2912037374907696,P(W/m³) =,29120.373749076964
temps (s),ChampH (A/m),ChampB (T),dB/dt (T/s)
0.0,-9.975190474183579,-0.044957547718490885,13979.824917658716
4e-09,-9.957189856599502,-0.044901612332666305,13987.867994632963
8e-09,-9.939086451776593,-0.044845572996154506,14031.800261266755
1.2000000000000002e-08,-9.921017512023273,-0.04478928615219685,14111.6217175601
1.6e-08,-9.903079306307129,-0.04473265735444268,14202.777159526384
2e-08,-9.885395619906475,-0.044675690495357946,14280.652382840359
2.4000000000000003e-08,-9.867811846605226,-0.04461843084287892,14349.173856670803
2.8000000000000003e-08,-9.849755054351348,-0.04456090792758376,14412.28379091277
3.2e-08,-9.831012006269322,-0.04450314169545603,14470.832272952104
3.6000000000000005e-08,-9.811885530462975,-0.0444451486825962,14525.674156960913
4e-08,-9.792825115690986,-0.04438695496029165,14571.186995311691
4.4000000000000004e-08,-9.774184124258808,-0.044328609170801996,14601.70774951667
4.8000000000000006e-08,-9.755800612898854,-0.04427013646435874,14634.645472110607
5.2e-08,-9.737222307928059,-0.04421149204757891,14687.562917806388
5.6000000000000005e-08,-9.71848797769935,-0.044152588686949164,14764.117397063763
6.000000000000001e-08,-9.699908243994237,-0.04409332444353482,14868.004310111271
6.4e-08,-9.681363094299552,-0.04403367587498041,14956.2799670929
6.8e-08,-9.662701201056354,-0.043973792348683254,14985.483181487962
7.200000000000001e-08,-9.643932592359024,-0.04391381405368265,15003.664318810439
7.6e-08,-9.624652442329825,-0.04385368766369219,15059.53067642046
8e-08,-9.604660906447535,-0.043793304095057606,15132.253640870753
8.400000000000001e-08,-9.584566045127167,-0.04373263821618205,15200.685796910948
8.800000000000001e-08,-9.564820562130839,-0.04367170701823547,15264.913176373795
9.2e-08,-9.545334326920107,-0.04361052714473657,15325.023573078175
9.600000000000001e-08,-9.526174577913102,-0.04354911400890153,15381.544344441441
1.0000000000000001e-07,-9.50741513759287,-0.0434874808949932,15435.012609723908
1.04e-07,-9.488652327494401,-0.043425650005912385,15480.431930685154
1.08e-07,-9.469508903615182,-0.043363663731531,15512.705260005658
