Bmax (T) =,0.07447065788088518,Freq(Hz) =,100000.0,Hc =,3.806034541130486,Br (T) =,0.017800324935644457,Hmax =,16.269737652720174,µr =,3642.4598755182337,W(J/m³) =,0.8132723498870311,P(W/m³) =,81327.23498870312
temps (s),ChampH (A/m),ChampB (T),dB/dt (T/s)
0.0,-14.425024997200369,-0.07009841570069457,13804.261449167763
4e-09,-14.405974724302904,-0.07004320099876615,13803.08951504342
8e-09,-14.386841567737811,-0.06998785915147879,13867.83412863458
1.2000000000000002e-08,-14.367731100341489,-0.06993212649264163,13998.495289941253
1.6e-08,-14.348674133321513,-0.06987582652590009,14151.48808082944
2e-08,-14.329398487912808,-0.06981895730402057,14283.122858931114
2.4000000000000003e-08,-14.309423128010879,-0.06976160141967491,14394.819313897184
2.8000000000000003e-08,-14.288774322094717,-0.06970383577536851,14488.002839307237
3.2e-08,-14.268142717896785,-0.06964572077832909,14569.495680405978
3.6000000000000005e-08,-14.248033869542901,-0.06958728947023249,14646.158367891903
4e-08,-14.228087248242085,-0.06952853920628485,14728.973605923766
4.4000000000000004e-08,-14.20776942171124,-0.0694694232523316,14829.003370704164
4.8000000000000006e-08,-14.187270993434113,-0.0694098723534509,14946.446069648953
5.2e-08,-14.166903348185416,-0.06934981645766036,15081.50182561942
5.6000000000000005e-08,-14.146296268890396,-0.06928923050678235,15211.473613387358
6.000000000000001e-08,-14.125251915790605,-0.06922818070456947,15313.427493052308
6.4e-08,-14.104442847410207,-0.06916671805738009,15417.896101641178
6.8e-08,-14.084077721289475,-0.0691047707048754,15555.78015069527
7.200000000000001e-08,-14.063233701778616,-0.06904231424546318,15672.449555412319
7.6e-08,-14.041435131201611,-0.06897954429133041,15712.527510980077
8e-08,-14.019323899512164,-0.06891662087565065,15749.180328902681
8.400000000000001e-08,-13.997497278452466,-0.06885340912929126,15856.6928507864
8.800000000000001e-08,-13.976117983127468,-0.06878974727947758,15974.232056055878
9.2e-08,-13.955067731022075,-0.06872571894328548,16039.936039990162
9.600000000000001e-08,-13.933832241734818,-0.06866138815731902,16125.456943244664
1.0000000000000001e-07,-13.912205769732426,-0.06859652969430147,16303.77456552675
1.04e-07,-13.890558214406418,-0.06853098643994761,16467.852611406255
1.08e-07,-13.869015547895794,-0.06846503373838574,16508.49816952638
1.1200000000000001e-07,-13.847197622408958,-0.0683989555182181,16530.611914289515
1.16e-07,-13.824746090915085,-0.0683326115354857,16641.379451919827
1.2000000000000002e-07,-13.801837511704761,-0.06826580587017304,16761.453204399375
1.24e-07,-13.77894823403873,-0.06819866370901316,16809.62737554862
1.28e-07,-13.756377536980365,-0.06813135120702812,16846.623616972684
1.3200000000000002e-07,-13.73412387027847,-0.06806378859055857,16934.68461779405
1.36e-07,-13.711862407980865,-0.06799583029578676,17044.462768117955
1.4e-07,-13.689289284152522,-0.06792744971726121,17145.82649465522
1.4400000000000002e-07,-13.666496517927852,-0.06785865287740389,17252.593434004895
1.48e-07,-13.643851544251834,-0.06778938974449317,17378.973021359023
1.52e-07,-13.621522481938163,-0.0677196596193847,17486.08953287187
1.5600000000000002e-07,-13.599201426943,-0.06764961963110527,17533.90460684471
1.6e-07,-13.576604106630178,-0.06757937596662077,17587.927635409756
1.64e-07,-13.55392070438358,-0.06750876864118067,17715.735084628363
1.6800000000000002e-07,-13.53137796741382,-0.06743761469684685,17861.237082283566
1.72e-07,-13.508637815410918,-0.06736595926263061,17966.480025837234
1.7600000000000001e-07,-13.485202398408749,-0.06729393745780109,18044.422388931387
1.8000000000000002e-07,-13.46144726167937,-0.06722163165819932,18108.47741194924
1.84e-07,-13.438109436905666,-0.06714903774031256,18188.481531433717
1.8800000000000002e-07,-13.414980535034102,-0.06707603006337129,18315.356939196095
1.9200000000000003e-07,-13.391640603643033,-0.06700252545989348,18436.944799709243
1.96e-07,-13.368071422438016,-0.06692865337341686,18499.09843860326
2.0000000000000002e-07,-13.345148498661285,-0.06685454932879145,18552.923874104363
2.04e-07,-13.321453635740626,-0.06678014035899855,18651.561022342354
2.08e-07,-13.297134947836394,-0.06670531784152603,18759.697713916732
2.1200000000000002e-07,-13.272699926405412,-0.06663011733282427,18840.556636963454
2.16e-07,-13.248325434310411,-0.06655461306840134,18911.575574503182
2.2e-07,-13.22383052301849,-0.06647880802562627,18990.945813037288
2.2400000000000002e-07,-13.199338042536437,-0.06640265339866513,19086.36766752449
2.28e-07,-13.175297147379728,-0.06632606889726177,19205.883034161594
2.32e-07,-13.151605209196338,-0.06624901573473771,19320.698227866953
2.3600000000000002e-07,-13.127582110991483,-0.06617157296615382,19400.686064071982
2.4000000000000003e-07,-13.103227564997807,-0.06609380135701663,19485.118504528797
2.44e-07,-13.07925611623014,-0.06601560081268537,19615.1536610959
2.48e-07,-13.055714598631432,-0.06593691674502802,19726.880167583444
2.5200000000000003e-07,-13.031931120956353,-0.06585795656000402,19753.212344411302
2.56e-07,-13.007583282316231,-0.06577892298109007,19763.57711256819
2.6e-07,-12.982757717588234,-0.06569973389052572,19830.96816960749
2.6400000000000003e-07,-12.957615575832673,-0.06562019947191863,19936.241133935597
2.68e-07,-12.932338660783763,-0.0655402085349372,20059.227356780782
2.72e-07,-12.906911558046842,-0.06545973673942926,20176.670397193044
2.7600000000000004e-07,-12.88116557839693,-0.06537885530055575,20264.049039559162
2.8e-07,-12.855371501166562,-0.06529766191350424,20332.644486195484
2.84e-07,-12.83021885750415,-0.06521620787177829,20394.376376776305
2.8800000000000004e-07,-12.80564843957001,-0.0651345354574077,20441.830808521227
2.92e-07,-12.780844576892372,-0.06505271747048945,20467.162650600203
2.96e-07,-12.755612091845695,-0.0649707716075227,20505.768832784244
3.0000000000000004e-07,-12.730406940028393,-0.06488856976114935,20595.15435388599
3.04e-07,-12.70528806794138,-0.06480595610715859,20711.67264149141
3.08e-07,-12.679870368935688,-0.06472287231708237,20830.22239661983
3.1200000000000004e-07,-12.654015705669323,-0.06463935075427558,20930.559006766547
3.16e-07,-12.62786134905031,-0.06455550729296271,20991.171649678257
3.2e-07,-12.601430293345267,-0.06447144899328569,21037.978188828245
3.2400000000000004e-07,-12.57464967570719,-0.06438717589004962,21098.573429205535
3.28e-07,-12.547694194412955,-0.06430258232588722,21198.208652002366
3.32e-07,-12.520956734064763,-0.06421745831105091,21363.798766149146
3.3600000000000004e-07,-12.49452961146894,-0.06413172657956802,21502.066975292186
3.4000000000000003e-07,-12.468200378480995,-0.06404569564186438,21513.401876524797
3.44e-07,-12.441781694366728,-0.06395964588008864,21511.479011351854
3.4800000000000005e-07,-12.415126526674706,-0.06387338711563043,21617.90321775105
3.5200000000000003e-07,-12.38827278018391,-0.06378663974494682,21755.78212405441
3.56e-07,-12.361449132396132,-0.06369944275254871,21842.714075000473
3.6000000000000005e-07,-12.334461002876573,-0.06361192974689783,21913.788750438547
3.6400000000000003e-07,-12.306663837721388,-0.06352408881346991,22006.677963524377
3.68e-07,-12.278317655216018,-0.0634358938390758,22090.80923352626
3.7200000000000005e-07,-12.250642616294202,-0.0633474455819993,22133.319304723766
3.7600000000000003e-07,-12.223940795853022,-0.06325884919917284,22164.872108513653
3.8e-07,-12.197546737420952,-0.06317008249595168,22218.47950205303
3.8400000000000005e-07,-12.171002370790875,-0.06308105945349522,22293.04172618648
3.8800000000000003e-07,-12.144050647023978,-0.06299169864706754,22387.36148765055
3.92e-07,-12.116589070905414,-0.0629019689776704,22477.473210915243
3.96e-07,-12.088684395725496,-0.06281193902107302,22537.50508778223
