Bmax (T) =,0.07521616583369296,Freq(Hz) =,10000.0,Hc =,2.6412620851678126,Br (T) =,0.012725748178677304,Hmax =,16.97997710661156,µr =,3525.04144077755,W(J/m³) =,0.5357077702135837,P(W/m³) =,5357.077702135837
temps (s),ChampH (A/m),ChampB (T),dB/dt (T/s)
0.0,-11.637828337170504,-0.05756371167980229,2803.108687569549
4e-08,-11.603407565625703,-0.057451083486601294,2828.300972480256
8e-08,-11.568414519606646,-0.05733815540928733,2818.1028932178046
1.2000000000000002e-07,-11.533141519367671,-0.05722444733036641,2867.3010528279938
1.6e-07,-11.498920556204276,-0.057109958240127726,2857.1534591064465
2e-07,-11.464604117819187,-0.05699575186891809,2853.165101375093
2.4000000000000003e-07,-11.430094582545063,-0.056881575284177595,2855.664135649802
2.8e-07,-11.395349776776666,-0.05676754611721654,2845.7942124032224
3.2e-07,-11.360320872643323,-0.05665327310509291,2867.85639377793
3.6e-07,-11.325145687157875,-0.05653781418761347,2905.089480194056
4e-07,-11.290607022517253,-0.05642164695799516,2903.27200072154
4.4e-07,-11.256034962921763,-0.056305653903492965,2896.38072438825
4.800000000000001e-07,-11.221157006535632,-0.05618968912089368,2901.8584055762503
5.2e-07,-11.18608072289642,-0.056073552687455314,2904.963266341797
5.6e-07,-11.150516506751243,-0.055956756912852755,2934.8254637860528
6e-07,-11.115055708572187,-0.05583888478651814,2958.780852944631
6.4e-07,-11.079057702904022,-0.055720988931979305,2936.011873997278
6.800000000000001e-07,-11.044060397630853,-0.0556034020489508,2943.3322774282465
7.2e-07,-11.008658627253174,-0.05548576215610433,2938.6623648946975
7.6e-07,-10.97284240108981,-0.055367926379359174,2953.12647236347
8e-07,-10.936457301302768,-0.05524946205762976,2970.089614106954
8.4e-07,-10.90063313676344,-0.05513014856910236,2995.584812263079
8.8e-07,-10.864680910213702,-0.05501069422591585,2977.1323470629522
9.2e-07,-10.828871434422044,-0.05489104500854144,3005.328521657402
9.600000000000001e-07,-10.792562779509343,-0.054770844993915775,3004.6722096256594
1e-06,-10.757096339456758,-0.0546497498706499,3050.083953668108
1.04e-06,-10.721157552491919,-0.054527996920786054,3037.563539524108
1.08e-06,-10.684828388287768,-0.05440704214732389,3010.1751335841104
1.12e-06,-10.64839530418078,-0.05428618834494353,3032.514985433786
1.1600000000000001e-06,-10.611640193378626,-0.054164344521106064,3059.676206439719
1.2e-06,-10.574703767657997,-0.054041408190163454,3087.1403406910717
1.24e-06,-10.53816266755625,-0.05391811543130205,3077.4976023785566
1.28e-06,-10.50181771462475,-0.05379485649775306,3085.4490750708137
1.32e-06,-10.464418847706368,-0.053671917137677994,3061.5189286826867
1.3600000000000001e-06,-10.427651901201527,-0.053549645196453666,3052.0781325337844
1.4e-06,-10.391069402460374,-0.05342686587554326,3086.8879129865554
1.44e-06,-10.354707908988576,-0.053302519483443216,3130.431692015584
1.48e-06,-10.317760610375107,-0.053177428934470264,3124.0957566322304
1.52e-06,-10.28087226617279,-0.05305267663862136,3113.519035813005
1.56e-06,-10.24280375779435,-0.052927899100002,3125.3578951548097
1.6e-06,-10.204316407690618,-0.052802880240497126,3125.585080088873
1.64e-06,-10.166870855197148,-0.05267778110898222,3129.371495656617
1.68e-06,-10.129578039119197,-0.05255203071398965,3158.148253971453
1.72e-06,-10.092497739289518,-0.05242575173538384,3155.8006763194526
1.76e-06,-10.055203386603747,-0.05229953737827037,3154.9171793536466
1.8000000000000001e-06,-10.018549613722751,-0.05217285047649406,3179.42790946216
1.84e-06,-9.980824348367099,-0.052044968077109156,3214.69205978306
1.88e-06,-9.943781382537862,-0.051916669172011806,3200.2531950847388
1.9200000000000003e-06,-9.906386747133828,-0.05178914673453353,3175.868678828483
1.96e-06,-9.868493137489796,-0.05166181361783365,3190.787156165385
2e-06,-9.831327649083159,-0.051533624771215474,3218.6551747439626
2.04e-06,-9.792854278506677,-0.051404532233415116,3235.9717152737676
2.08e-06,-9.754862829208859,-0.051275385171230585,3221.3813939527367
2.12e-06,-9.717555240727114,-0.05114632847816428,3231.4532593629297
2.16e-06,-9.680023414311373,-0.0510165417641765,3257.8824400257654
2.2e-06,-9.642795199541823,-0.05088660662269847,3238.8746338757032
2.24e-06,-9.605132774566044,-0.05075655485962095,3263.7135200000866
2.28e-06,-9.568078004050218,-0.0506258917166431,3269.4436288926026
2.3200000000000002e-06,-9.530208064501027,-0.050495174049281076,3266.4397392088617
2.36e-06,-9.49210648334206,-0.05036518892711755,3232.8163689673156
2.4e-06,-9.453616011532695,-0.0502352805429762,3262.6028381002175
2.44e-06,-9.414868717621687,-0.050103467844231975,3328.032099110791
2.48e-06,-9.375936746165687,-0.049970969046986884,3296.907763143955
2.52e-06,-9.337607716031965,-0.049839319416539775,3285.573759211182
2.56e-06,-9.29995911725029,-0.0497075203488916,3304.379623197633
2.6e-06,-9.261714009712152,-0.049575142212089265,3314.5272169191794
2.64e-06,-9.223579887633374,-0.04944264543426581,3310.31167425376
2.68e-06,-9.185316835311614,-0.04931038644334,3302.6378720364705
2.7200000000000002e-06,-9.147049054780956,-0.04917807949115034,3312.7097374466634
