Bmax (T) =,0.07450004586884201,Freq(Hz) =,100000.0,Hc =,3.5604024120890148,Br (T) =,0.01684269000889035,Hmax =,16.122618699040572,µr =,3677.1478572847273,W(J/m³) =,0.7547177753204455,P(W/m³) =,75471.77753204455
temps (s),ChampH (A/m),ChampB (T),dB/dt (T/s)
0.0,-14.366309170925684,-0.06991453280606003,13893.116001157434
4e-09,-14.347327641557605,-0.0698587517900464,13997.392005654136
8e-09,-14.328078570271169,-0.06980260329295954,14076.856537779588
1.2000000000000002e-08,-14.308943580195415,-0.0697461865606889,14131.509597533803
1.6e-08,-14.289943887948013,-0.06968952557322267,14198.98413558692
2e-08,-14.270830871913141,-0.06963249359790015,14317.003525675174
2.4000000000000003e-08,-14.251532058019059,-0.0695749569195054,14451.335671697498
2.8000000000000003e-08,-14.232271768155368,-0.06951691902554352,14567.611309242375
3.2e-08,-14.213319744687292,-0.06945843085351273,14676.474706147545
3.6000000000000005e-08,-14.194579738709164,-0.06939950064429824,14788.629901097222
4e-08,-14.17570031318228,-0.06934013679255568,14893.295970182218
4.4000000000000004e-08,-14.156536465832092,-0.06928039097233628,14979.614139521165
4.8000000000000006e-08,-14.137088046719516,-0.06922035165862953,15040.042713855782
5.2e-08,-14.11741343631801,-0.06916013762628839,15066.973456707545
5.6000000000000005e-08,-14.097550613522293,-0.06909972522715901,15139.226107988325
6.000000000000001e-08,-14.077265942260045,-0.06903877388859786,15336.44317258869
6.4e-08,-14.056609891132224,-0.06897702503484598,15537.98370334895
6.8e-08,-14.036124738429097,-0.06891470556246504,15621.752487118616
7.200000000000001e-08,-14.015990474457617,-0.06885214321462953,15659.421430636346
7.6e-08,-13.996184057866545,-0.06878937708608887,15723.642839696944
8e-08,-13.976746300973495,-0.0687263064466329,15811.676888287831
8.400000000000001e-08,-13.957140064879557,-0.06866284161077259,15920.741041866693
8.800000000000001e-08,-13.936780826777122,-0.0685989206383206,16039.745184126929
9.2e-08,-13.915976333389185,-0.06853452632421846,16157.411866945198
9.600000000000001e-08,-13.895432826528678,-0.06846967957819403,16265.961145268446
1.0000000000000001e-07,-13.875236499099044,-0.06840443271742645,16357.46923851724
1.04e-07,-13.854678525790987,-0.06833884639793232,16435.690508549593
1.08e-07,-13.833280311791649,-0.06827296610676195,16504.455076640097
1.1200000000000001e-07,-13.811443237497022,-0.06820677528591045,16590.955349108408
1.16e-07,-13.789617890837977,-0.06814014742477215,16722.97522004903
1.2000000000000002e-07,-13.767801126654307,-0.06807299106307739,16855.205627322714
1.24e-07,-13.74615236937116,-0.06800539809698995,16941.277416398865
1.28e-07,-13.725103000036077,-0.06793749630420363,17009.61897676131
1.3200000000000002e-07,-13.704524208458626,-0.06786929832405957,17089.371095272654
1.36e-07,-13.683580269906589,-0.0678007429846631,17188.298602958326
1.4e-07,-13.661895168785929,-0.06773173764351008,17314.37197355346
1.4400000000000002e-07,-13.640107106846813,-0.0676622738134045,17417.543079226743
1.48e-07,-13.61870549525607,-0.06759254602893494,17446.349155561053
1.52e-07,-13.59712451696965,-0.06752267735756139,17487.986531216167
1.5600000000000002e-07,-13.57476848832714,-0.06745243686399886,17632.260250042807
1.6e-07,-13.552010802281252,-0.06738161488397286,17778.729762959796
1.64e-07,-13.529296264741227,-0.06731040985714482,17823.783651061935
1.6800000000000002e-07,-13.506619529188422,-0.067239074851169,17843.719336842605
1.72e-07,-13.48415632592269,-0.06716755267220516,17917.370145086068
1.7600000000000001e-07,-13.46197924935891,-0.06709566623343614,18025.849239417897
1.8000000000000002e-07,-13.439841182318206,-0.06702331532025367,18149.607351816852
1.84e-07,-13.417646405770805,-0.06695046378019935,18276.162675342435
1.8800000000000002e-07,-13.395291340566496,-0.06687712629437197,18392.58023834814
1.9200000000000003e-07,-13.372657643216453,-0.06680335611259809,18492.51064859456
1.96e-07,-13.349752953711452,-0.06672923236347865,18569.363911121367
2.0000000000000002e-07,-13.326773893497661,-0.06665483241385159,18630.610902415025
2.04e-07,-13.303562679137972,-0.06658020315264188,18684.019702438538
2.08e-07,-13.280211821196241,-0.0665053272605023,18753.92636734219
2.1200000000000002e-07,-13.256907583812811,-0.06643008806311614,18865.67232574521
2.16e-07,-13.23366182802799,-0.0663543892632356,18983.7276145223
2.2e-07,-13.210309997125433,-0.06627827974347533,19071.03226561438
2.2400000000000002e-07,-13.186925300725346,-0.06620185650947495,19140.58473457583
