Bmax (T) =,0.07452235617130071,Freq(Hz) =,50000.0,Hc =,3.0944385574792377,Br (T) =,0.015125002830345641,Hmax =,16.228136117369278,µr =,3654.3325954798643,W(J/m³) =,0.6166883373388029,P(W/m³) =,30834.416866940148
temps (s),ChampH (A/m),ChampB (T),dB/dt (T/s)
0.0,-14.202866636384353,-0.07119296348686265,8111.385643068288
8e-09,-14.182750965112335,-0.07112808098426004,8109.2400075799005
1.6e-08,-14.163208309643238,-0.071063084384335,8139.909973678608
2.4000000000000003e-08,-14.143291760466656,-0.0709975526376764,8243.026690973438
3.2e-08,-14.122762690577675,-0.07093154380265626,8259.182064062468
4e-08,-14.102360824077147,-0.07086537139448358,8283.919979105047
4.8000000000000006e-08,-14.08219658463974,-0.07079887587884914,8339.958929507622
5.6000000000000005e-08,-14.062343134237768,-0.07073193609045474,8394.988169092132
6.4e-08,-14.0418902407809,-0.07066444701937531,8477.279600764381
7.200000000000001e-08,-14.021507628511612,-0.07059678831687845,8437.396023450841
8e-08,-14.000788783296521,-0.07052879842923326,8560.075887845667
8.800000000000001e-08,-13.979408209441825,-0.07046033195808196,8556.54189998244
9.600000000000001e-08,-13.958656243829946,-0.07039157065137176,8633.784777564371
1.04e-07,-13.93773390128255,-0.07032250037315126,8633.784777564371
1.1200000000000001e-07,-13.916552133464789,-0.07025323017218875,8683.765463058557
1.2000000000000002e-07,-13.895255451626419,-0.07018364090260776,8713.551932191456
1.28e-07,-13.874420839666216,-0.07011365986522936,8781.70741241081
1.36e-07,-13.853580551976881,-0.07004323707936803,8823.989052917255
1.4400000000000002e-07,-13.832184011161434,-0.06997260629307821,8833.707519541123
1.52e-07,-13.81055379805492,-0.06990149892328225,8943.134929448857
1.6e-07,-13.78975582463541,-0.06982999625170101,8932.532965859178
1.6800000000000002e-07,-13.768095526778941,-0.06975834212349707,8980.999085126272
1.7600000000000001e-07,-13.746055111680267,-0.06968632449939863,9023.406939484981
1.84e-07,-13.723764224700187,-0.06961413270018406,9024.542864155303
1.9200000000000003e-07,-13.701878643099015,-0.06954147037572828,9141.038249789484
2.0000000000000002e-07,-13.680520169967833,-0.06946795282620961,9238.349129880442
2.08e-07,-13.657852091962335,-0.06939424999475581,9187.35873356819
2.16e-07,-13.634401847590107,-0.06932056735751838,9233.300575790117
2.2400000000000002e-07,-13.61183126762437,-0.069246440447521,9298.426923555277
2.32e-07,-13.589443032224487,-0.06917204293502437,9300.951200600439
2.4000000000000003e-07,-13.567185133495126,-0.06909738289771505,9364.058126729464
2.48e-07,-13.543556289424306,-0.06902228868475396,9409.495113542362
2.56e-07,-13.519951985646697,-0.06894685924780128,9447.864124628808
2.6400000000000003e-07,-13.49715424830129,-0.06887133287861007,9433.728173175909
2.72e-07,-13.474232067782516,-0.06879553388749797,9516.01960484816
