entree,ChampB,ChampBdes,ChampH2,derivChampB,derivChampBdes,timeC,ih,v2_for_integration,ChampH23,ChampB_brut,ChampH2_brut,derivChampB_brut,ih_probe,ChampH2_probe_brut
0.74096811,-0.0002476213,0,1.9274255,7794.4341,15707.946,0,-0.1010101,-0.63504702,-18.633112,-0.047047768,-12.880791,2578.8484,-0.012099979,-12.753832
0.74100631,-0.00012323118,0.00025132715,1.9624273,7794.5376,15707.946,1.6e-08,-0.1010101,-0.63516068,-18.633112,-0.047006827,-12.880845,2579.3062,-0.011926023,-12.737917
0.74105042,1.1572465e-06,0.00050265272,1.997414,7794.6714,15707.848,3.2e-08,-0.1010101,-0.63540125,-18.633112,-0.046965875,-12.880788,2580.2754,-0.011177099,-12.721892
0.74110055,0.00012554837,0.00075397507,2.0323853,7794.5205,15707.649,4.8e-08,-0.1010101,-0.63577735,-18.633112,-0.0469249,-12.880614,2581.7908,-0.011147801,-12.705757
0.741157,0.0002499361,0.0010052928,2.067342,7794.6167,15707.352,6.4e-08,-0.1010101,-0.63636214,-18.633112,-0.0468839,-12.880325,2584.1467,-0.011382183,-12.689513
0.74122006,0.00037432549,0.001256604,2.1022835,7794.4106,15706.954,8e-08,-0.1010101,-0.63719749,-18.633112,-0.046842847,-12.879918,2587.5125,-0.011301004,-12.673159
0.74128979,0.00049870572,0.0015079073,2.1372101,7793.9902,15706.458,9.6e-08,-0.1010101,-0.63833416,-18.633112,-0.046801735,-12.879393,2592.092,-0.011502426,-12.656694
0.74136651,0.00062307611,0.0017592012,2.1721218,7792.9478,15705.863,1.12e-07,-0.1010101,-0.63969415,-18.633112,-0.04676054,-12.878745,2597.5718,-0.011810663,-12.640121
0.74145031,0.00074743113,0.0020104838,2.2070189,7792.3223,15705.169,1.28e-07,-0.1010101,-0.64111203,-18.633112,-0.046719261,-12.877976,2603.2842,-0.011169164,-12.623439
0.7415415,0.00087178365,0.0022617539,2.2419012,7792.1099,15704.375,1.44e-07,-0.1010101,-0.64255309,-18.633112,-0.046677884,-12.877083,2609.0901,-0.01111301,-12.606647
0.74164021,0.00099613157,0.0025130096,2.2767687,7792.0654,15703.482,1.6e-07,-0.1010101,-0.64422274,-18.633112,-0.04663641,-12.876064,2615.8171,-0.011467635,-12.589746
0.74174654,0.0011204812,0.0027642495,2.3116217,7791.9644,15702.49,1.76e-07,-0.1010101,-0.64627826,-18.633112,-0.046594813,-12.874919,2624.0991,-0.010061952,-12.572737
0.74186069,0.0012448241,0.0030154716,2.3464599,7791.7017,15701.398,1.92e-07,-0.1010101,-0.6486333,-18.633112,-0.046553075,-12.873646,2633.5874,-0.010826746,-12.555619
0.74198276,0.001369162,0.0032666749,2.3812835,7791.0615,15700.208,2.08e-07,-0.1010101,-0.6511327,-18.633112,-0.046511181,-12.872242,2643.6575,-0.010794397,-12.538393
0.74211287,0.0014934841,0.0035178578,2.4160929,7790.2021,15698.919,2.24e-07,-0.1010101,-0.65378278,-18.633112,-0.046469122,-12.870708,2654.3347,-0.010632649,-12.521058
0.74225122,0.0016177942,0.0037690182,2.4508874,7789.207,15697.529,2.4e-07,-0.1010101,-0.65653473,-18.633112,-0.046426889,-12.86904,2665.4224,-0.0099050878,-12.503615
0.74239779,0.0017420864,0.0040201549,2.4856675,7788.3184,15696.042,2.56e-07,-0.1010101,-0.65934724,-18.633112,-0.046384472,-12.867238,2676.7539,-0.011022675,-12.486065
0.74255276,0.0018663676,0.0042712661,2.5204332,7787.4482,15694.455,2.72e-07,-0.1010101,-0.66229075,-18.633112,-0.046341874,-12.865301,2688.6135,-0.010160222,-12.468408
0.74271607,0.0019906345,0.0045223506,2.5551844,7786.8286,15692.769,2.88e-07,-0.1010101,-0.66540259,-18.633112,-0.046299081,-12.863228,2701.1511,-0.010686971,-12.450642
0.74288791,0.0021148927,0.0047734063,2.589921,7786.0137,15690.983,3.04e-07,-0.1010101,-0.668733,-18.633112,-0.046256077,-12.861015,2714.5693,-0.010043032,-12.432769
0.74306822,0.0022391384,0.0050244317,2.6246431,7785.5601,15689.099,3.2e-07,-0.1010101,-0.67232025,-18.633112,-0.046212852,-12.858663,2729.0222,-0.0097268596,-12.414789
0.74325705,0.0023633777,0.0052754255,2.6593506,7784.8989,15687.115,3.36e-07,-0.1010101,-0.67618507,-18.633112,-0.046169389,-12.85617,2744.594,-0.0089938045,-12.396703
0.74345446,0.0024876026,0.0055263862,2.6940436,7784.1738,15685.032,3.52e-07,-0.1010101,-0.68023568,-18.633112,-0.046125669,-12.853534,2760.9138,-0.0093099764,-12.37851
0.74366033,0.0026118171,0.0057773115,2.7287221,7783.2456,15682.851,3.68e-07,-0.1010101,-0.6842531,-18.633112,-0.046081688,-12.850754,2777.1001,-0.0099075288,-12.360209
0.74387467,0.0027360138,0.0060282005,2.763386,7782.3662,15680.57,3.84e-07,-0.1010101,-0.68836379,-18.633112,-0.046037447,-12.847829,2793.6621,-0.0094753867,-12.341804
