iteration,timestamp,RMSE,THD_mesure,THD_reference,FF_mesure,FF_reference,B_max,B_max_reference,dB_max,dB_max_reference,H_max,I_max_mA,delta_B,delta_dB,cycle,reinit,lag_synchro,calibreA,calibreB,amplitude_entree_V,calibreC,converge,calibreD,Idc_shunt_mA,Idc_probe_mA,ratio_Iprobe_Ishunt,dphi_probe_shunt_deg,H_max_probe
0,2026-08-18 10:47:07.457,70.3434,3.62337e-05,8.00614e-05,1.11143,1.11142,0.000520354,0.0999999,82.0163,15707.9,0.306076,33.8022,0.994807,0.994832,1,1,-488,PS5000A_20MV,PS5000A_20MV,0.01,PS5000A_100MV,0,PS5000A_20MV,-31.2685,60.5913,0.839433,-6.54671,0.212785
1,2026-08-18 10:47:10.001,70.5433,2.60571e-05,8.00614e-05,1.11169,1.11142,0.000237974,0.0999999,37.5408,15707.9,0.177413,33.247,0.997659,0.997652,2,1,-214,PS5000A_20MV,PS5000A_20MV,0.01001,PS5000A_100MV,0,PS5000A_20MV,-31.4357,60.1099,0.71253,-3.16163,0.0915421
2,2026-08-18 10:47:12.702,62.4703,0.000144217,8.00614e-05,1.11142,1.11142,0.0116543,0.0999999,1830.61,15707.9,4.59475,57.3178,0.883477,0.883467,3,1,-533,PS5000A_100MV,PS5000A_20MV,0.183712,PS5000A_1V,0,PS5000A_20MV,-31.6603,60.1322,0.87877,0.266541,4.00293
3,2026-08-18 10:47:15.499,49.9265,0.0330534,8.00614e-05,1.11116,1.11142,0.0294085,0.0999999,4634.6,15707.9,10.131,88.1815,0.706037,0.707165,4,1,-408,PS5000A_500MV,PS5000A_20MV,0.461134,PS5000A_2V,0,PS5000A_20MV,-32.0786,59.5812,0.878463,0.394468,8.91844
4,2026-08-18 10:47:18.587,35.7358,0.0372797,8.00614e-05,1.11141,1.11142,0.0494635,0.0999999,7794.67,15707.9,14.7643,101.01,0.505384,0.506041,5,1,-501,PS5000A_500MV,PS5000A_20MV,0.773294,PS5000A_2V,0,PS5000A_20MV,-32.2976,57.3281,0.938525,0.188333,13.8785
5,2026-08-18 10:47:21.556,22.8964,0.0310381,8.00614e-05,1.11181,1.11142,0.0676046,0.0999999,10692.3,15707.9,18.0342,101.01,0.323976,0.326505,6,1,-439,PS5000A_1V,PS5000A_20MV,1.05725,PS5000A_5V,0,PS5000A_20MV,-27.0908,56.6146,1.03056,-0.0157922,18.1417
6,2026-08-18 10:47:24.486,15.0544,0.0348403,8.00614e-05,1.11182,1.11142,0.0786867,0.0999999,12433.9,15707.9,19.7768,101.01,0.21317,0.215321,7,1,-467,PS5000A_1V,PS5000A_20MV,1.22889,PS5000A_5V,0,PS5000A_20MV,-23.7092,56.1755,1.08178,-0.0902343,20.7827
7,2026-08-18 10:47:27.361,9.94519,0.0385889,8.00614e-05,1.11191,1.11142,0.0859168,0.0999999,13583.8,15707.9,20.8697,101.01,0.140852,0.146088,8,1,-482,PS5000A_1V,PS5000A_20MV,1.34034,PS5000A_5V,0,PS5000A_20MV,-21.4716,55.8855,1.1125,-0.117188,22.523
8,2026-08-18 10:47:30.396,6.63626,0.0395654,8.00614e-05,1.11187,1.11142,0.0906025,0.0999999,14313.6,15707.9,21.5452,101.01,0.0940493,0.0990201,9,1,-490,PS5000A_1V,PS5000A_20MV,1.4123,PS5000A_5V,0,PS5000A_20MV,-20.1284,55.2775,1.13379,-0.172955,23.7475
9,2026-08-18 10:47:33.351,4.40404,0.043257,8.00614e-05,1.11182,1.11142,0.0937766,0.0999999,14809.6,15707.9,27.9702,188.898,0.0623284,0.0672631,10,1,-495,PS5000A_1V,PS5000A_50MV,1.46022,PS5000A_5V,0,PS5000A_20MV,-36.4522,55.623,0.877806,0.3613,24.5748
10,2026-08-18 10:47:36.304,2.9924,0.0441071,8.00614e-05,1.11176,1.11142,0.0957952,0.0999999,15114.5,15707.9,28.6007,192.362,0.0422845,0.0474662,11,1,-498,PS5000A_1V,PS5000A_50MV,1.49081,PS5000A_5V,0,PS5000A_20MV,-36.8016,55.2908,0.878116,0.386239,25.1034
