entree,ChampB,ChampBdes,ChampH2,derivChampB,derivChampBdes,timeC,ih,v2_for_integration,ChampH23,ChampB_brut,ChampH2_brut,derivChampB_brut,ih_probe,ChampH2_probe_brut
1.5338401,-0.00081299583,0,5.9937696,15437.642,15707.946,0,-0.17814872,-1.1982335,-32.862705,-0.094206132,-26.020893,4781.7744,-0.068915069,-22.794712
1.533841,-0.00056525774,0.00025132715,6.0492392,15440.044,15707.946,1.6e-08,-0.17770404,-1.1983856,-32.780674,-0.094128884,-25.972736,4782.3872,-0.068980984,-22.752773
1.533839,-0.00031748618,0.00050265272,6.104671,15442.748,15707.848,3.2e-08,-0.17727555,-1.1996204,-32.701633,-0.094051592,-25.924288,4787.3618,-0.068343148,-22.710575
1.5338339,-6.9670488e-05,0.00075397507,6.1600657,15444.736,15707.649,4.8e-08,-0.17726552,-1.2014365,-32.699783,-0.093974203,-25.875546,4794.6792,-0.067817621,-22.668118
1.5338254,0.00017817397,0.0010052928,6.2154231,15445.427,15707.352,6.4e-08,-0.17673223,-1.2041408,-32.601406,-0.093896665,-25.826513,4805.5747,-0.067517929,-22.625402
1.5338134,0.00042603703,0.001256604,6.2707429,15446.463,15706.954,8e-08,-0.17666286,-1.20794,-32.588612,-0.093818918,-25.777189,4820.8818,-0.068208255,-22.58243
1.5337976,0.00067391171,0.0015079073,6.326025,15447.021,15706.458,9.6e-08,-0.17640238,-1.2120059,-32.540562,-0.093740918,-25.727579,4837.2637,-0.066528521,-22.539202
1.5337778,0.00092179864,0.0017592012,6.3812695,15447.255,15705.863,1.12e-07,-0.17603554,-1.2166259,-32.472889,-0.093662642,-25.677681,4855.8774,-0.066954561,-22.495718
1.5337539,0.001169689,0.0020104838,6.4364758,15447.743,15705.169,1.28e-07,-0.17556852,-1.2223251,-32.386738,-0.093584023,-25.627497,4878.8398,-0.066737264,-22.451982
1.5337253,0.0014175848,0.0022617539,6.4916444,15446.737,15704.375,1.44e-07,-0.17554848,-1.2285075,-32.383045,-0.093505032,-25.577028,4903.7485,-0.066221505,-22.407993
1.533692,0.0016654704,0.0025130096,6.5467753,15446.961,15703.482,1.6e-07,-0.17502442,-1.235826,-32.286373,-0.093425602,-25.526278,4933.2349,-0.065946229,-22.363752
1.5336537,0.0019133569,0.0027642495,6.6018682,15447.4,15702.49,1.76e-07,-0.17499898,-1.2432525,-32.281681,-0.093345694,-25.475246,4963.1567,-0.065792412,-22.319262
1.5336103,0.00216125,0.0030154716,6.6569228,15448.527,15701.398,1.92e-07,-0.17446646,-1.2510343,-32.183445,-0.093265295,-25.423935,4994.5093,-0.065345623,-22.274523
1.5335613,0.0024091594,0.0032666749,6.7119393,15448.992,15700.208,2.08e-07,-0.17448418,-1.2596881,-32.186714,-0.093184374,-25.372345,5029.376,-0.065627612,-22.229536
1.5335066,0.0026570754,0.0035178578,6.7669177,15448.916,15698.919,2.24e-07,-0.17386919,-1.2687693,-32.073269,-0.093102872,-25.320477,5065.9639,-0.064798117,-22.184301
1.5334461,0.0029049956,0.0037690182,6.8218579,15449.701,15697.529,2.4e-07,-0.17376052,-1.2778888,-32.053223,-0.093020789,-25.268333,5102.7061,-0.064857326,-22.138823
1.5333793,0.0031529244,0.0040201549,6.8767595,15451.033,15696.042,2.56e-07,-0.17378518,-1.2878214,-32.057774,-0.092938095,-25.215918,5142.7246,-0.064306162,-22.0931
1.533306,0.0034008727,0.0042712661,6.9316225,15451.052,15694.455,2.72e-07,-0.17339523,-1.2978319,-31.985838,-0.092854753,-25.163229,5183.0571,-0.064414196,-22.047132
1.533226,0.0036488238,0.0045223506,6.9864473,15451.529,15692.769,2.88e-07,-0.17278178,-1.3080866,-31.872675,-0.092770755,-25.110268,5224.374,-0.063462019,-22.000925
1.5331392,0.0038967854,0.0047734063,7.0412331,15452.697,15690.983,3.04e-07,-0.17300758,-1.3185118,-31.91433,-0.092686094,-25.057039,5266.377,-0.063863643,-21.954477
1.5330452,0.0041447561,0.0050244317,7.0959806,15451.804,15689.099,3.2e-07,-0.1721506,-1.3288581,-31.756243,-0.09260077,-25.003542,5308.062,-0.063337505,-21.907789
1.5329438,0.0043927249,0.0052754255,7.1506891,15451.945,15687.115,3.36e-07,-0.17196487,-1.3393599,-31.721983,-0.092514768,-24.949778,5350.3735,-0.063756831,-21.860865
1.5328348,0.0046406882,0.0055263862,7.2053585,15451.853,15685.032,3.52e-07,-0.17203268,-1.3497455,-31.734493,-0.092428088,-24.89575,5392.2178,-0.063520618,-21.813704
1.5327179,0.0048886552,0.0057773115,7.2599893,15452.019,15682.851,3.68e-07,-0.17143388,-1.3596681,-31.624031,-0.09234076,-24.841457,5432.1963,-0.062951751,-21.766306
1.5325931,0.0051366175,0.0060282005,7.3145809,15450.535,15680.57,3.84e-07,-0.17070714,-1.3691083,-31.489971,-0.092252806,-24.786905,5470.231,-0.062016662,-21.718676
1.5324599,0.0053845639,0.0062790518,7.3691335,15448.673,15678.19,4e-07,-0.17097686,-1.378491,-31.539728,-0.092164241,-24.732094,5508.0337,-0.061764579,-21.670813
1.5323182,0.0056324759,0.006529863,7.4236469,15445.597,15675.711,4.16e-07,-0.17011063,-1.3872397,-31.379936,-0.092075102,-24.677023,5543.2822,-0.062659994,-21.622719
1.5321679,0.0058803451,0.0067806332,7.4781208,15442.502,15673.134,4.32e-07,-0.17011218,-1.3958548,-31.38022,-0.091985397,-24.621695,5577.9922,-0.061511885,-21.574394
1.5320086,0.006128164,0.0070313606,7.5325556,15440.07,15670.456,4.48e-07,-0.17001815,-1.4041532,-31.362877,-0.091895141,-24.566114,5611.4268,-0.06151738,-21.525843
1.5318402,0.0063759433,0.0072820433,7.5869508,15437.638,15667.681,4.64e-07,-0.16948408,-1.4128746,-31.264357,-0.091804348,-24.510279,5646.5654,-0.06145085,-21.477064
1.5316626,0.006623684,0.0075326804,7.6413064,15436.257,15664.806,4.8e-07,-0.16923824,-1.421663,-31.219007,-0.091712981,-24.454191,5681.9741,-0.061038852,-21.428059
1.5314754,0.0068714009,0.0077832695,7.6956224,15434.627,15661.832,4.96e-07,-0.16937079,-1.4305861,-31.24346,-0.091621049,-24.397856,5717.9248,-0.061187781,-21.37883
1.5312786,0.0071190912,0.0080338093,7.7498989,15433.268,15658.76,5.12e-07,-0.16886292,-1.4395648,-31.149773,-0.091528535,-24.341272,5754.1006,-0.060803246,-21.329378
1.531072,0.0073667588,0.0082842987,7.8041358,15430.826,15655.588,5.28e-07,-0.16891764,-1.4486164,-31.159866,-0.091435447,-24.284441,5790.5693,-0.060103152,-21.279705
1.5308554,0.0076143886,0.008534736,7.8583326,15428.208,15652.317,5.44e-07,-0.16828415,-1.4575734,-31.043009,-0.091341771,-24.227365,5826.6572,-0.06021668,-21.229811
1.5306286,0.0078619784,0.0087851193,7.9124894,15425.542,15648.948,5.6e-07,-0.16791809,-1.4662031,-30.975481,-0.091247536,-24.170048,5861.4263,-0.060443129,-21.179701
1.5303915,0.0081095258,0.0090354467,7.9666061,15423.396,15645.479,5.76e-07,-0.16733083,-1.4752401,-30.867151,-0.091152728,-24.11249,5897.8364,-0.059452496,-21.129372
1.5301439,0.0083570359,0.0092857173,8.0206833,15420.396,15641.912,5.92e-07,-0.16719519,-1.4838873,-30.842131,-0.091057345,-24.054691,5932.6763,-0.059132665,-21.078829
1.5298856,0.0086045014,0.0095359292,8.0747194,15418.232,15638.247,6.08e-07,-0.16736859,-1.492519,-30.874117,-0.090961412,-23.996655,5967.4531,-0.058951385,-21.02807
1.5296167,0.0088519314,0.0097860815,8.1287155,15416.157,15634.482,6.24e-07,-0.16694857,-1.5013975,-30.796638,-0.090864912,-23.938383,6003.2251,-0.058448438,-20.9771
1.5293368,0.0090993252,0.010036171,8.1826715,15413.21,15630.618,6.4e-07,-0.16638675,-1.5104401,-30.693001,-0.090767831,-23.879879,6039.6577,-0.058281809,-20.92592
1.5290461,0.0093466751,0.010286197,8.2365875,15409.726,15626.656,6.56e-07,-0.16618793,-1.5194877,-30.656322,-0.090670168,-23.821142,6076.1108,-0.057781916,-20.874529
1.5287441,0.0095939683,0.010536159,8.2904625,15406.074,15622.596,6.72e-07,-0.16568622,-1.5287813,-30.563774,-0.090571918,-23.762175,6113.5542,-0.057574388,-20.822931
1.5284309,0.0098412046,0.010786054,8.3442965,15401.855,15618.437,6.88e-07,-0.16538951,-1.53756,-30.509041,-0.090473086,-23.702978,6148.9238,-0.058372144,-20.771128
1.5281065,0.010088375,0.011035881,8.3980904,15398.649,15614.178,7.04e-07,-0.16518682,-1.5463705,-30.471653,-0.09037368,-23.643557,6184.4214,-0.057236854,-20.719118
1.5277705,0.010335494,0.011285638,8.4518433,15396.414,15609.821,7.2e-07,-0.16458879,-1.5550152,-30.361334,-0.090273723,-23.583908,6219.251,-0.057495039,-20.666906
1.5274231,0.010582572,0.011535323,8.5055552,15393.253,15605.366,7.36e-07,-0.16432291,-1.563645,-30.312286,-0.0901732,-23.524038,6254.0205,-0.057244178,-20.614492
1.5270642,0.010829601,0.011784936,8.559226,15388.717,15600.812,7.52e-07,-0.16411251,-1.5724844,-30.273476,-0.090072118,-23.463949,6289.6348,-0.056189459,-20.561878
1.5266935,0.011076561,0.012034475,8.6128559,15385.072,15596.159,7.68e-07,-0.16352449,-1.5812314,-30.165005,-0.089970462,-23.403639,6324.876,-0.055446029,-20.509066
1.5263112,0.011323463,0.012283938,8.6664448,15381.752,15591.408,7.84e-07,-0.16365781,-1.5900776,-30.1896,-0.089868248,-23.343111,6360.5181,-0.056276742,-20.456057
