entree,ChampB,ChampBdes,ChampH2,derivChampB,derivChampBdes,timeC,ih,v2_for_integration,ChampH23,ChampB_brut,ChampH2_brut,derivChampB_brut,ih_probe,ChampH2_probe_brut
1.5255433,-0.00050367223,0,6.0014801,15351.6,15707.946,0,-0.17666672,-1.207044,-32.589321,-0.093509361,-25.772442,4817.1987,-0.066960663,-22.595762
1.5255446,-0.00025732504,0.00025132715,6.0567369,15351.136,15707.946,1.6e-08,-0.17616579,-1.2074704,-32.496918,-0.09343154,-25.724529,4818.9165,-0.06711936,-22.55368
1.5255433,-1.0956685e-05,0.00050265272,6.1119547,15351.562,15707.848,3.2e-08,-0.17614961,-1.2087276,-32.493931,-0.093353659,-25.676327,4823.9819,-0.067344584,-22.511341
1.525539,0.0002353926,0.00075397507,6.1671343,15352.844,15707.649,4.8e-08,-0.17615654,-1.2104483,-32.495209,-0.093275681,-25.627834,4830.9146,-0.067001559,-22.468748
1.5255316,0.00048178498,0.0010052928,6.2222753,15354.7,15707.352,6.4e-08,-0.17585751,-1.212882,-32.440052,-0.093197577,-25.579054,4840.7202,-0.066295356,-22.4259
1.5255208,0.00072818011,0.001256604,6.2773771,15355.947,15706.954,8e-08,-0.1753404,-1.2161568,-32.344658,-0.093119279,-25.529985,4853.9146,-0.06637837,-22.382799
1.5255064,0.00097462162,0.0015079073,6.3324404,15357.27,15706.458,9.6e-08,-0.17499514,-1.220256,-32.280972,-0.093040749,-25.480633,4870.4297,-0.065767385,-22.339447
1.5254881,0.001221059,0.0017592012,6.387465,15357.885,15705.863,1.12e-07,-0.1747254,-1.2253219,-32.231213,-0.092961922,-25.430996,4890.8403,-0.066025577,-22.295845
1.525466,0.0014675299,0.0020104838,6.44245,15357.34,15705.169,1.28e-07,-0.17438477,-1.2309829,-32.168377,-0.092882752,-25.381075,4913.6484,-0.065265052,-22.251993
1.5254394,0.0017139734,0.0022617539,6.497396,15357.188,15704.375,1.44e-07,-0.17430384,-1.2372888,-32.15345,-0.092803195,-25.330873,4939.0552,-0.065610521,-22.207893
1.5254083,0.0019604359,0.0025130096,6.5523028,15356.898,15703.482,1.6e-07,-0.17428227,-1.2440134,-32.149467,-0.092723221,-25.280392,4966.1489,-0.06488052,-22.163548
1.5253725,0.0022068697,0.0027642495,6.6071701,15355.815,15702.49,1.76e-07,-0.17393084,-1.2508584,-32.084641,-0.092642806,-25.229631,4993.7275,-0.064903714,-22.118956
1.5253317,0.0024533127,0.0030154716,6.6619983,15355.479,15701.398,1.92e-07,-0.17355244,-1.2586046,-32.014839,-0.092561916,-25.178593,5024.9365,-0.065034941,-22.074118
1.5252857,0.0026997284,0.0032666749,6.7167864,15356.826,15700.208,2.08e-07,-0.17348617,-1.2670408,-32.002613,-0.09248051,-25.127279,5058.9263,-0.063746452,-22.029037
1.5252342,0.0029461798,0.0035178578,6.7715354,15356.821,15698.919,2.24e-07,-0.17259836,-1.276222,-31.83884,-0.092398539,-25.075691,5095.9175,-0.063938111,-21.983715
1.525177,0.0031926143,0.0037690182,6.8262444,15356.714,15697.529,2.4e-07,-0.17279488,-1.2858081,-31.875092,-0.092315957,-25.02383,5134.54,-0.063739128,-21.938152
1.5251138,0.0034390667,0.0040201549,6.8809133,15355.675,15696.042,2.56e-07,-0.17196795,-1.295458,-31.722551,-0.092232756,-24.971697,5173.4194,-0.064401992,-21.892349
1.5250446,0.0036854872,0.0042712661,6.9355426,15356.159,15694.455,2.72e-07,-0.17172673,-1.3056821,-31.678053,-0.092148915,-24.919294,5214.6123,-0.06311655,-21.846308
