entree,ChampB,ChampBdes,ChampH2,derivChampB,derivChampBdes,timeC,ih,v2_for_integration,ChampH23,ChampB_brut,ChampH2_brut,derivChampB_brut,ih_probe,ChampH2_probe_brut
1.4594089,-0.00045016987,0,5.6834292,14682.354,15707.946,0,-0.16930528,-1.2035319,-31.231375,-0.088784963,-24.47106,4803.2783,-0.060869168,-21.440372
1.4594139,-0.00021452541,0.00025132715,5.7372251,14684.292,15707.946,1.6e-08,-0.1685269,-1.2037336,-31.08779,-0.088707373,-24.42487,4804.0913,-0.060283821,-21.400164
1.4594171,2.1142132e-05,0.00050265272,5.7909822,14686.435,15707.848,3.2e-08,-0.1691681,-1.2050549,-31.20607,-0.08862973,-24.378414,4809.415,-0.060743432,-21.35972
1.4594183,0.00025684305,0.00075397507,5.8447008,14686.979,15707.649,4.8e-08,-0.16819012,-1.207144,-31.025663,-0.088551983,-24.331694,4817.832,-0.060180668,-21.319044
1.4594173,0.00049256335,0.0010052928,5.8983808,14688.107,15707.352,6.4e-08,-0.16800053,-1.2099879,-30.990692,-0.088474073,-24.28471,4829.2896,-0.05960143,-21.278133
1.4594141,0.0007282978,0.001256604,5.9520221,14688.322,15706.954,8e-08,-0.16795585,-1.2130402,-30.982447,-0.088395976,-24.237465,4841.5879,-0.059459213,-21.236992
1.4594083,0.00096404157,0.0015079073,6.0056243,14688.889,15706.458,9.6e-08,-0.16758746,-1.2170271,-30.914492,-0.088317648,-24.189959,4857.6504,-0.059190039,-21.19562
1.4593997,0.0011997928,0.0017592012,6.0591874,14690.566,15705.863,1.12e-07,-0.16751271,-1.2216594,-30.900702,-0.088239044,-24.142193,4876.3149,-0.059675284,-21.154016
1.4593884,0.0014355622,0.0020104838,6.1127119,14690.979,15705.169,1.28e-07,-0.16736937,-1.2268428,-30.87426,-0.088160127,-24.09417,4897.1982,-0.059302956,-21.112185
1.4593738,0.0016713478,0.0022617539,6.1661968,14690.696,15704.375,1.44e-07,-0.16641374,-1.2324439,-30.697977,-0.088080853,-24.045889,4919.7651,-0.058890346,-21.070126
1.4593561,0.0019071324,0.0025130096,6.2196422,14690.017,15703.482,1.6e-07,-0.166265,-1.2387034,-30.67054,-0.088001207,-23.997355,4944.9849,-0.059013031,-21.02784
1.4593349,0.0021429101,0.0027642495,6.2730489,14690.413,15702.49,1.76e-07,-0.16669348,-1.2458512,-30.749582,-0.087921128,-23.948563,4973.7832,-0.057902768,-20.985327
1.4593099,0.0023786856,0.0030154716,6.3264155,14690.479,15701.398,1.92e-07,-0.16572475,-1.2532415,-30.570883,-0.087840572,-23.899521,5003.5591,-0.058032777,-20.942591
1.4592812,0.0026144658,0.0032666749,6.3797426,14690.789,15700.208,2.08e-07,-0.16600142,-1.2610961,-30.62192,-0.087759532,-23.850225,5035.2051,-0.057163,-20.89963
1.4592484,0.0028502475,0.0035178578,6.4330301,14689.762,15698.919,2.24e-07,-0.165482,-1.2691202,-30.5261,-0.087677978,-23.80068,5067.5342,-0.057637867,-20.856447
1.4592115,0.0030860235,0.0037690182,6.4862776,14688.548,15697.529,2.4e-07,-0.16538797,-1.2778631,-30.508757,-0.08759588,-23.750885,5102.7598,-0.056606341,-20.813044
1.45917,0.0033217794,0.0040201549,6.5394855,14685.296,15696.042,2.56e-07,-0.1648932,-1.2870212,-30.417488,-0.087513208,-23.700844,5139.6577,-0.056747336,-20.769419
1.4591238,0.0035574995,0.0042712661,6.5926533,14684.422,15694.455,2.72e-07,-0.16438995,-1.2965631,-30.324656,-0.087429933,-23.650557,5178.1025,-0.055735953,-20.725574
1.4590728,0.0037931867,0.0045223506,6.645781,14681.702,15692.769,2.88e-07,-0.16424429,-1.3059394,-30.297787,-0.087346055,-23.600023,5215.8799,-0.056457411,-20.681515
1.4590169,0.0040288451,0.0047734063,6.6988688,14678.208,15690.983,3.04e-07,-0.16385819,-1.3156586,-30.226562,-0.08726155,-23.549246,5255.0381,-0.056387831,-20.637236
1.4589556,0.0042644516,0.0050244317,6.7519159,14675.499,15689.099,3.2e-07,-0.16370252,-1.3251727,-30.197845,-0.087176435,-23.498228,5293.3706,-0.055838495,-20.592743
1.458889,0.0045000101,0.0052754255,6.8049226,14673.74,15687.115,3.36e-07,-0.16357073,-1.3346267,-30.173534,-0.087090701,-23.44697,5331.4604,-0.055410016,-20.548035
1.4588166,0.0047355331,0.0055263862,6.8578892,14672.966,15685.032,3.52e-07,-0.16308136,-1.3438592,-30.083261,-0.087004371,-23.395472,5368.6587,-0.056138188,-20.503113
1.4587386,0.0049710386,0.0057773115,6.9108148,14673.178,15682.851,3.68e-07,-0.16290642,-1.3531585,-30.050989,-0.086917438,-23.343737,5406.1255,-0.055140231,-20.457981
1.4586544,0.0052065398,0.0060282005,6.9636998,14673.206,15680.57,3.84e-07,-0.16304359,-1.3621973,-30.076296,-0.086829916,-23.291763,5442.543,-0.054539628,-20.412638
1.458564,0.0054420433,0.0062790518,7.0165439,14671.723,15678.19,4e-07,-0.16263282,-1.3711082,-30.000523,-0.08674182,-23.239557,5478.4448,-0.054956511,-20.367083
1.4584672,0.0056775324,0.006529863,7.0693474,14668.752,15675.711,4.16e-07,-0.16193229,-1.3794708,-29.871296,-0.086653158,-23.187119,5512.1382,-0.055167697,-20.321321
1.4583639,0.0059129847,0.0067806332,7.1221099,14666.631,15673.134,4.32e-07,-0.1617928,-1.3879853,-29.845564,-0.08656396,-23.134445,5546.4434,-0.054248482,-20.275352
1.4582537,0.0061483965,0.0070313606,7.1748309,14663.789,15670.456,4.48e-07,-0.16187295,-1.3960499,-29.860348,-0.086474225,-23.081545,5578.9355,-0.053873714,-20.229179
1.4581367,0.0063837683,0.0072820433,7.2275109,14659.532,15667.681,4.64e-07,-0.16124716,-1.403983,-29.744911,-0.086383976,-23.028414,5610.8979,-0.053785212,-20.1828
1.4580125,0.0066190814,0.0075326804,7.2801499,14655.465,15664.806,4.8e-07,-0.1612988,-1.4121268,-29.754436,-0.086293206,-22.975056,5643.709,-0.053274941,-20.136217
1.4578809,0.0068543283,0.0077832695,7.332747,14651.827,15661.832,4.96e-07,-0.16086799,-1.4205034,-29.674967,-0.086201906,-22.921473,5677.4585,-0.053518478,-20.089434
1.4577419,0.0070895138,0.0080338093,7.385303,14649.187,15658.76,5.12e-07,-0.16046801,-1.4289082,-29.601185,-0.086110063,-22.867664,5711.3223,-0.053401899,-20.04245
1.4575952,0.0073246504,0.0082842987,7.4378171,14646.406,15655.588,5.28e-07,-0.15983145,-1.4370944,-29.483757,-0.086017683,-22.813635,5744.3042,-0.052706078,-19.995266
1.4574409,0.0075597437,0.008534736,7.4902897,14644.639,15652.317,5.44e-07,-0.15982914,-1.4452662,-29.48333,-0.085924782,-22.759384,5777.2285,-0.052247688,-19.947884
1.4572784,0.0077948016,0.0087851193,7.5427203,14642.333,15648.948,5.6e-07,-0.16003567,-1.4539337,-29.521431,-0.085831329,-22.704912,5812.1499,-0.052659687,-19.900305
1.4571079,0.008029826,0.0090354467,7.5951095,14639.242,15645.479,5.76e-07,-0.15925114,-1.4622971,-29.376707,-0.085737333,-22.650225,5845.8462,-0.052988067,-19.852531
1.4569291,0.0082648071,0.0092857173,7.6474562,14634.687,15641.912,5.92e-07,-0.15918177,-1.4707011,-29.363913,-0.0856428,-22.59532,5879.7056,-0.051626943,-19.804564
1.4567418,0.0084997239,0.0095359292,7.6997609,14630.304,15638.247,6.08e-07,-0.15887889,-1.4789501,-29.308043,-0.085547723,-22.540201,5912.9414,-0.051571399,-19.756403
1.4565461,0.0087345708,0.0097860815,7.7520237,14625.794,15634.482,6.24e-07,-0.15807046,-1.4870641,-29.158913,-0.085452124,-22.484869,5945.6328,-0.050918303,-19.70805
1.4563416,0.0089693451,0.010036171,7.804244,14621.283,15630.618,6.4e-07,-0.15811208,-1.4952602,-29.16659,-0.085355997,-22.429325,5978.6548,-0.050992157,-19.65951
1.4561284,0.0092040477,0.010286197,7.8564219,14616.141,15626.656,6.56e-07,-0.15789168,-1.5039397,-29.125931,-0.085259326,-22.373573,6013.6245,-0.050710164,-19.610779
1.4559062,0.0094386721,0.010536159,7.9085574,14612.435,15622.596,6.72e-07,-0.15757416,-1.5124021,-29.06736,-0.085162103,-22.317612,6047.7192,-0.050152287,-19.561861
1.4556749,0.0096732285,0.010786054,7.96065,14610.613,15618.437,6.88e-07,-0.15677419,-1.5205624,-28.919794,-0.085064344,-22.261444,6080.5977,-0.049426556,-19.512758
1.4554344,0.009907742,0.011035881,8.0127001,14608.02,15614.178,7.04e-07,-0.15703776,-1.528754,-28.968412,-0.084966063,-22.205072,6113.6016,-0.049507126,-19.463472
1.4551847,0.01014222,0.011285638,8.0647078,14604.99,15609.821,7.2e-07,-0.15654223,-1.5370749,-28.877003,-0.084867239,-22.148497,6147.1265,-0.049954526,-19.414001
1.4549255,0.010376652,0.011535323,8.1166725,14601.982,15605.366,7.36e-07,-0.15628482,-1.5454185,-28.829519,-0.084767886,-22.091721,6180.7432,-0.049262367,-19.364351
1.4546568,0.010611036,0.011784936,8.1685944,14598.431,15600.812,7.52e-07,-0.15564825,-1.5534046,-28.712091,-0.084668003,-22.034742,6212.9185,-0.049067661,-19.31452
1.4543786,0.010845366,0.012034475,8.2204723,14594.381,15596.159,7.68e-07,-0.15565364,-1.5614867,-28.713087,-0.084567606,-21.97757,6245.4819,-0.049090855,-19.264509
1.4540907,0.011079635,0.012283938,8.2723083,14589.625,15591.408,7.84e-07,-0.15535,-1.5695841,-28.657074,-0.084466688,-21.920198,6278.1064,-0.048873562,-19.214323
1.453793,0.011313833,0.012533323,8.3241005,14585.177,15586.559,8e-07,-0.15490995,-1.5776861,-28.575899,-0.084365241,-21.862633,6310.749,-0.047856685,-19.16396
1.4534856,0.011547958,0.012782629,8.3758488,14581.555,15581.611,8.16e-07,-0.15454927,-1.5857029,-28.509367,-0.08426328,-21.804874,6343.0493,-0.047995239,-19.113422
1.4531682,0.011782018,0.013031853,8.4275541,14576.355,15576.564,8.32e-07,-0.1543358,-1.5938706,-28.469988,-0.084160797,-21.746925,6375.9565,-0.047737662,-19.062714
1.4528408,0.012016008,0.013280996,8.4792166,14571.633,15571.42,8.48e-07,-0.15445834,-1.6020931,-28.492592,-0.084057786,-21.688786,6409.0854,-0.047744378,-19.011833
1.4525034,0.012249917,0.013530055,8.5308342,14567.541,15566.177,8.64e-07,-0.15352121,-1.6103115,-28.319721,-0.083954237,-21.630461,6442.1973,-0.047190771,-18.960781
1.4521558,0.012483757,0.013779028,8.5824089,14563.738,15560.835,8.8e-07,-0.15353739,-1.6182495,-28.322706,-0.083850175,-21.571947,6474.1792,-0.04728904,-18.909563
1.4517982,0.012717534,0.014027914,8.6339397,14560.021,15555.396,8.96e-07,-0.15326072,-1.6265463,-28.271669,-0.083745591,-21.51325,6507.6069,-0.046803188,-18.858177
1.4514303,0.012951251,0.014276712,8.6854267,14555.656,15549.857,9.12e-07,-0.15238523,-1.6344975,-28.11017,-0.083640479,-21.454372,6539.6431,-0.045460373,-18.806627
1.4510522,0.013184902,0.01452542,8.7368698,14550.927,15544.222,9.28e-07,-0.15252241,-1.6422607,-28.135477,-0.083534867,-21.395311,6570.9209,-0.046344798,-18.754911
1.4506638,0.013418481,0.014774036,8.7882681,14545.44,15538.487,9.44e-07,-0.1521024,-1.6501765,-28.057997,-0.083428741,-21.336073,6602.8135,-0.045872372,-18.703035
1.4502652,0.013651976,0.015022558,8.8396235,14540.848,15532.654,9.6e-07,-0.15189509,-1.6583139,-28.019754,-0.0833221,-21.276657,6635.5991,-0.045347452,-18.650997
1.4498562,0.013885393,0.015270986,8.890933,14536.493,15526.724,9.76e-07,-0.15158297,-1.6665419,-27.962179,-0.083214939,-21.217066,6668.7505,-0.044911038,-18.598801
1.4494368,0.014118738,0.015519316,8.9421997,14531.254,15520.695,9.92e-07,-0.15090171,-1.6746782,-27.836506,-0.08310724,-21.157301,6701.5312,-0.044820093,-18.546446
1.449007,0.014352005,0.01576755,8.9934216,14527.116,15514.568,1.008e-06,-0.15056337,-1.6824076,-27.774096,-0.082999036,-21.097364,6732.6733,-0.044114504,-18.493935
1.4485669,0.014585198,0.016015682,9.0445986,14521.729,15508.344,1.024e-06,-0.15025896,-1.6902541,-27.717941,-0.082890324,-21.037258,6764.2866,-0.044563737,-18.441271
1.4481163,0.014818314,0.016263716,9.0957308,14516.929,15502.021,1.04e-06,-0.1504709,-1.6983732,-27.757036,-0.082781106,-20.976984,6796.9985,-0.04460036,-18.388453
1.4476554,0.015051348,0.016511645,9.1468191,14511.94,15495.6,1.056e-06,-0.14995378,-1.7062857,-27.661644,-0.082671367,-20.916542,6828.8784,-0.043732412,-18.335482
1.4471841,0.015284305,0.01675947,9.1978617,14507.652,15489.081,1.072e-06,-0.14949292,-1.7144564,-27.576632,-0.082561105,-20.855936,6861.7979,-0.04332957,-18.282362
1.4467022,0.015517187,0.017007189,9.2488604,14500.429,15482.465,1.088e-06,-0.14909294,-1.7223396,-27.502848,-0.08245033,-20.795168,6893.5596,-0.042641073,-18.229094
1.4462101,0.015749976,0.017254801,9.2998133,14495.057,15475.751,1.104e-06,-0.14901201,-1.7303443,-27.487921,-0.082339048,-20.734238,6925.8105,-0.04275094,-18.175678
1.4457076,0.015982663,0.017502304,9.3507214,14489.823,15468.939,1.12e-06,-0.14818278,-1.7379044,-27.334953,-0.08222726,-20.673149,6956.2705,-0.043093968,-18.122118
1.4451946,0.016215269,0.017749697,9.4015846,14484.701,15462.029,1.136e-06,-0.1486683,-1.7457592,-27.424515,-0.082114972,-20.611902,6987.9175,-0.042486038,-18.068415
1.4446713,0.016447788,0.017996978,9.4524031,14479.152,15455.022,1.152e-06,-0.14772809,-1.7537646,-27.251076,-0.082002178,-20.550501,7020.1709,-0.042144842,-18.014568
1.4441376,0.016680226,0.018244144,9.5031748,14473.351,15447.917,1.168e-06,-0.14786911,-1.7617944,-27.277092,-0.081888862,-20.488945,7052.5234,-0.041861627,-17.960581
1.4435936,0.016912568,0.018491196,9.5539026,14466.568,15440.715,1.184e-06,-0.14723331,-1.7694995,-27.159807,-0.081775039,-20.427238,7083.5674,-0.041309856,-17.906456
1.4430394,0.01714481,0.01873813,9.6045847,14459.574,15433.415,1.2e-06,-0.14683257,-1.7773503,-27.085882,-0.081660718,-20.365381,7115.1982,-0.041455124,-17.852192
1.4424748,0.017376943,0.018984945,9.65522,14453.002,15426.018,1.216e-06,-0.14676398,-1.7848406,-27.073229,-0.081545904,-20.303375,7145.3765,-0.040606707,-17.797792
1.4419,0.017608967,0.019231642,9.7058115,14446.809,15418.522,1.232e-06,-0.14637093,-1.7926469,-27.000725,-0.081430592,-20.241222,7176.8281,-0.040602434,-17.743259
1.4413149,0.017840888,0.019478217,9.7563562,14439.013,15410.93,1.248e-06,-0.14572743,-1.8004615,-26.882019,-0.08131478,-20.178925,7208.3135,-0.040217292,-17.688593
1.4407197,0.018072696,0.019724669,9.8068552,14430.745,15403.24,1.264e-06,-0.14568195,-1.808304,-26.873631,-0.081198461,-20.116486,7239.9106,-0.039770503,-17.633797
1.4401144,0.018304376,0.019970996,9.8573084,14423.539,15395.453,1.28e-06,-0.14520183,-1.8162332,-26.785063,-0.081081636,-20.053905,7271.8574,-0.039767448,-17.578871
1.439499,0.018535933,0.020217197,9.9077158,14417.009,15387.569,1.296e-06,-0.14457065,-1.8241646,-26.668631,-0.080964297,-19.991184,7303.8135,-0.039191261,-17.523815
1.4388734,0.018767379,0.020463271,9.9580765,14410.774,15379.588,1.312e-06,-0.14463924,-1.831997,-26.681284,-0.080846451,-19.928328,7335.3701,-0.039069187,-17.468636
1.4382379,0.018998725,0.020709215,10.008391,14403.917,15371.509,1.328e-06,-0.14411749,-1.8399103,-26.585039,-0.080728099,-19.865335,7367.2529,-0.038641315,-17.41333
1.4375923,0.019229967,0.020955028,10.058661,14397.043,15363.333,1.344e-06,-0.14371058,-1.8478035,-26.509977,-0.080609232,-19.802208,7399.0542,-0.038748741,-17.357901
1.4369369,0.019461097,0.021200709,10.108883,14388.114,15355.061,1.36e-06,-0.14376684,-1.8560029,-26.520355,-0.080489852,-19.738951,7432.0903,-0.03747917,-17.302351
1.4362714,0.019692099,0.021446256,10.15906,14380.013,15346.69,1.376e-06,-0.14343391,-1.8638834,-26.458941,-0.080369957,-19.675562,7463.8403,-0.037595142,-17.246681
1.4355962,0.019922964,0.021691667,10.209188,14371.233,15338.225,1.392e-06,-0.14267249,-1.8718419,-26.318481,-0.080249541,-19.612047,7495.9058,-0.036444593,-17.190893
