entree,ChampB,ChampBdes,ChampH2,derivChampB,derivChampBdes,timeC,ih,v2_for_integration,ChampH23,ChampB_brut,ChampH2_brut,derivChampB_brut,ih_probe,ChampH2_probe_brut
1.4897094,-0.0006580457,0,5.7768493,14976.408,15707.946,0,-0.1731779,-1.1993675,-31.945747,-0.090929143,-25.091522,4787.7051,-0.063714102,-21.994677
1.4897124,-0.00041769783,0.00025132715,5.831286,14978.683,15707.946,1.6e-08,-0.17280412,-1.1998013,-31.876799,-0.090851814,-25.044542,4789.4531,-0.063534044,-21.953794
1.4897131,-0.0001773594,0.00050265272,5.8856859,14982.252,15707.848,3.2e-08,-0.17211823,-1.2014307,-31.750273,-0.090774417,-24.997286,4796.0176,-0.063854486,-21.912666
1.4897113,6.3072512e-05,0.00075397507,5.9400492,14983.897,15707.649,4.8e-08,-0.17198722,-1.203315,-31.726105,-0.090696909,-24.949755,4803.6094,-0.06293527,-21.871296
1.4897069,0.00030349745,0.0010052928,5.9943752,14985.328,15707.352,6.4e-08,-0.17166507,-1.2059729,-31.666681,-0.090619251,-24.901949,4814.3184,-0.063604236,-21.829685
1.4896995,0.00054399035,0.001256604,6.0486641,14986.205,15706.954,8e-08,-0.17146625,-1.2094269,-31.630003,-0.0905414,-24.853872,4828.2344,-0.06248787,-21.787834
1.4896891,0.00078445586,0.0015079073,6.1029158,14987.017,15706.458,9.6e-08,-0.17072794,-1.2137119,-31.493809,-0.090463296,-24.805525,4845.4985,-0.06310007,-21.745743
1.4896754,0.0010249791,0.0017592012,6.1571302,14987.545,15705.863,1.12e-07,-0.17094912,-1.2184854,-31.534611,-0.090384901,-24.756907,4864.731,-0.062636189,-21.703415
1.4896581,0.0012654677,0.0020104838,6.211307,14987.805,15705.169,1.28e-07,-0.17073102,-1.2235247,-31.494377,-0.090306185,-24.708021,4885.0347,-0.061271399,-21.660849
1.4896373,0.0015060066,0.0022617539,6.2654467,14988.715,15704.375,1.44e-07,-0.17017922,-1.2295541,-31.39259,-0.09022712,-24.658867,4909.3271,-0.062121648,-21.618046
1.4896123,0.0017465131,0.0025130096,6.3195491,14991.09,15703.482,1.6e-07,-0.17013529,-1.2363102,-31.384485,-0.090147637,-24.609449,4936.5474,-0.061727349,-21.575006
1.4895834,0.001987092,0.0027642495,6.3736138,14991.6,15702.49,1.76e-07,-0.16986248,-1.2434866,-31.33416,-0.090067714,-24.559767,4965.4614,-0.06148259,-21.531734
1.48955,0.0022276463,0.0030154716,6.4276404,14991.566,15701.398,1.92e-07,-0.16972761,-1.2511895,-31.30928,-0.0899873,-24.509819,4996.4961,-0.061486863,-21.48823
1.4895121,0.0024682458,0.0032666749,6.4816298,14991.284,15700.208,2.08e-07,-0.16967212,-1.2592227,-31.299046,-0.089906387,-24.459612,5028.8623,-0.060896635,-21.444494
1.4894694,0.0027088004,0.0035178578,6.5355816,14992.862,15698.919,2.24e-07,-0.16911185,-1.267817,-31.195692,-0.089824937,-24.409145,5063.4888,-0.060978424,-21.400526
1.4894217,0.0029494113,0.0037690182,6.5894952,14993.008,15697.529,2.4e-07,-0.16870108,-1.2765249,-31.119919,-0.089742929,-24.358418,5098.5732,-0.060038455,-21.356329
1.4893687,0.0031899912,0.0040201549,6.6433706,14994.34,15696.042,2.56e-07,-0.16826335,-1.2856983,-31.039169,-0.089660339,-24.307434,5135.5327,-0.05978759,-21.311903
1.4893104,0.0034306268,0.0042712661,6.6972084,14994.084,15694.455,2.72e-07,-0.16810766,-1.2954063,-31.010452,-0.089577146,-24.256195,5174.646,-0.060722068,-21.26725
1.4892464,0.0036712259,0.0045223506,6.7510076,14994.161,15692.769,2.88e-07,-0.16803676,-1.3050567,-30.997374,-0.089493327,-24.2047,5213.5273,-0.059917599,-21.22237
1.4891764,0.0039118649,0.0047734063,6.804769,14991.676,15690.983,3.04e-07,-0.16768688,-1.3146046,-30.932831,-0.089408889,-24.152954,5251.9966,-0.060235605,-21.177267
1.4891005,0.0041524367,0.0050244317,6.8584919,14989.826,15689.099,3.2e-07,-0.16736859,-1.3245193,-30.874117,-0.089323826,-24.100956,5291.9424,-0.059992675,-21.131939
1.4890181,0.0043930174,0.0052754255,6.9121766,14988.09,15687.115,3.36e-07,-0.16725454,-1.3341744,-30.853077,-0.08923813,-24.048706,5330.8433,-0.059205908,-21.086388
1.4889293,0.0046335272,0.0055263862,6.9658227,14986.256,15685.032,3.52e-07,-0.16676746,-1.3440585,-30.763229,-0.089151807,-23.99621,5370.6665,-0.059236426,-21.040615
1.4888338,0.0048740515,0.0057773115,7.0194306,14985.075,15682.851,3.68e-07,-0.16643223,-1.3537585,-30.701389,-0.089064851,-23.943466,5409.7476,-0.057911314,-20.994623
1.4887313,0.0051145102,0.0060282005,7.0729995,14984.142,15680.57,3.84e-07,-0.16645534,-1.3631467,-30.705654,-0.088977277,-23.890476,5447.5728,-0.058363598,-20.948414
1.4886217,0.0053549954,0.0062790518,7.1265302,14983.089,15678.19,4e-07,-0.16601992,-1.3720492,-30.625332,-0.088889115,-23.837244,5483.4414,-0.058275703,-20.901985
1.4885049,0.005595421,0.006529863,7.1800218,14980.765,15675.711,4.16e-07,-0.1660284,-1.3804971,-30.626896,-0.088800393,-23.78377,5517.4775,-0.056836452,-20.855339
1.4883804,0.00583586,0.0067806332,7.2334743,14978.758,15673.134,4.32e-07,-0.16544347,-1.3888046,-30.518993,-0.088711135,-23.730053,5550.9487,-0.057764214,-20.808479
1.4882483,0.0060762223,0.0070313606,7.2868881,14977.641,15670.456,4.48e-07,-0.16535637,-1.3971169,-30.502928,-0.088621341,-23.676098,5584.4395,-0.056954253,-20.761406
1.4881083,0.0063166041,0.0072820433,7.3402629,14976.54,15667.681,4.64e-07,-0.16476218,-1.40553,-30.39332,-0.088531002,-23.621904,5618.3354,-0.057174597,-20.714119
